Accession,Release_Date,Isolate,Genotype,Geo_Location,Country,USA,Collection_Date,GenBank_Title
OP022915,2022-09-17T00:00:00Z,P14,,United Kingdom,United Kingdom,,2019,"Hepacivirus C isolate P14 polyprotein gene, complete cds"
OP022916,2022-09-17T00:00:00Z,P15,,United Kingdom,United Kingdom,,2019,"Hepacivirus C isolate P15 polyprotein gene, complete cds"
OP022917,2022-09-17T00:00:00Z,P16,,United Kingdom,United Kingdom,,2019,"Hepacivirus C isolate P16 polyprotein gene, complete cds"
OP022918,2022-09-17T00:00:00Z,P17,,United Kingdom,United Kingdom,,2018,"Hepacivirus C isolate P17 polyprotein gene, complete cds"
OP022919,2022-09-17T00:00:00Z,P18,,United Kingdom,United Kingdom,,2019,"Hepacivirus C isolate P18 polyprotein gene, complete cds"
OP022920,2022-09-17T00:00:00Z,P19,,United Kingdom,United Kingdom,,2019,"Hepacivirus C isolate P19 polyprotein gene, complete cds"
OP022921,2022-09-17T00:00:00Z,P20,,United Kingdom,United Kingdom,,2019,"Hepacivirus C isolate P20 polyprotein gene, complete cds"
OK552682,2022-09-13T00:00:00Z,S553_20090408_FL_A22,,USA,USA,,2009-04-08,"Hepacivirus C isolate S553_20090408_FL_A22 polyprotein gene, partial cds"
OK552683,2022-09-13T00:00:00Z,S553_20090408_FL_B13,,USA,USA,,2009-04-08,"Hepacivirus C isolate S553_20090408_FL_B13 polyprotein gene, partial cds"
OK552684,2022-09-13T00:00:00Z,S553_20090408_FL_B15,,USA,USA,,2009-04-08,"Hepacivirus C isolate S553_20090408_FL_B15 polyprotein gene, partial cds"
OK552685,2022-09-13T00:00:00Z,S553_20090408_FL_B16,,USA,USA,,2009-04-08,"Hepacivirus C isolate S553_20090408_FL_B16 polyprotein gene, partial cds"
OK552686,2022-09-13T00:00:00Z,S553_20090408_FL_C01,,USA,USA,,2009-04-08,"Hepacivirus C isolate S553_20090408_FL_C01 polyprotein gene, partial cds"
OK552687,2022-09-13T00:00:00Z,S553_20090408_FL_C03,,USA,USA,,2009-04-08,"Hepacivirus C isolate S553_20090408_FL_C03 polyprotein gene, partial cds"
OK552688,2022-09-13T00:00:00Z,S553_20090408_FL_C04,,USA,USA,,2009-04-08,"Hepacivirus C isolate S553_20090408_FL_C04 polyprotein gene, partial cds"
OK552689,2022-09-13T00:00:00Z,S553_20090408_FL_C06,,USA,USA,,2009-04-08,"Hepacivirus C isolate S553_20090408_FL_C06 polyprotein gene, partial cds"
OK552690,2022-09-13T00:00:00Z,S553_20090408_FL_C09,,USA,USA,,2009-04-08,"Hepacivirus C isolate S553_20090408_FL_C09 polyprotein gene, partial cds"
OK552691,2022-09-13T00:00:00Z,S553_20090408_FL_C10,,USA,USA,,2009-04-08,"Hepacivirus C isolate S553_20090408_FL_C10 polyprotein gene, partial cds"
OK552692,2022-09-13T00:00:00Z,S553_20090408_FL_C11,,USA,USA,,2009-04-08,"Hepacivirus C isolate S553_20090408_FL_C11 polyprotein gene, partial cds"
OK552693,2022-09-13T00:00:00Z,S553_20090408_FL_C12,,USA,USA,,2009-04-08,"Hepacivirus C isolate S553_20090408_FL_C12 polyprotein gene, partial cds"
OK552694,2022-09-13T00:00:00Z,S553_20090408_FL_C13,,USA,USA,,2009-04-08,"Hepacivirus C isolate S553_20090408_FL_C13 polyprotein gene, partial cds"
OK552695,2022-09-13T00:00:00Z,S553_20090408_FL_C14,,USA,USA,,2009-04-08,"Hepacivirus C isolate S553_20090408_FL_C14 polyprotein gene, partial cds"
OK552696,2022-09-13T00:00:00Z,S553_20090408_FL_C15,,USA,USA,,2009-04-08,"Hepacivirus C isolate S553_20090408_FL_C15 polyprotein gene, partial cds"
OK552697,2022-09-13T00:00:00Z,S553_20090408_FL_C16,,USA,USA,,2009-04-08,"Hepacivirus C isolate S553_20090408_FL_C16 polyprotein gene, partial cds"
OK552698,2022-09-13T00:00:00Z,S553_20090408_FL_C17,,USA,USA,,2009-04-08,"Hepacivirus C isolate S553_20090408_FL_C17 polyprotein gene, partial cds"
OK552699,2022-09-13T00:00:00Z,S553_20090408_FL_C19,,USA,USA,,2009-04-08,"Hepacivirus C isolate S553_20090408_FL_C19 polyprotein gene, partial cds"
OK552700,2022-09-13T00:00:00Z,S553_20090408_FL_C20,,USA,USA,,2009-04-08,"Hepacivirus C isolate S553_20090408_FL_C20 polyprotein gene, partial cds"
OK552701,2022-09-13T00:00:00Z,S553_20090408_FL_C21,,USA,USA,,2009-04-08,"Hepacivirus C isolate S553_20090408_FL_C21 polyprotein gene, partial cds"
OK552702,2022-09-13T00:00:00Z,S553_20090408_FL_C22,,USA,USA,,2009-04-08,"Hepacivirus C isolate S553_20090408_FL_C22 polyprotein gene, partial cds"
OK552703,2022-09-13T00:00:00Z,S553_20090408_FL_C23,,USA,USA,,2009-04-08,"Hepacivirus C isolate S553_20090408_FL_C23 polyprotein gene, partial cds"
OK552704,2022-09-13T00:00:00Z,S553_20090408_FL_C25,,USA,USA,,2009-04-08,"Hepacivirus C isolate S553_20090408_FL_C25 polyprotein gene, partial cds"
OK552705,2022-09-13T00:00:00Z,S553_20090408_FL_C26,,USA,USA,,2009-04-08,"UNVERIFIED_ASMBLY: Hepacivirus C isolate S553_20090408_FL_C26 polyprotein-like gene, partial sequence"
OK552706,2022-09-13T00:00:00Z,S553_20090408_FL_C27,,USA,USA,,2009-04-08,"Hepacivirus C isolate S553_20090408_FL_C27 polyprotein gene, partial cds"
OK552707,2022-09-13T00:00:00Z,S553_20090408_FL_C28,,USA,USA,,2009-04-08,"Hepacivirus C isolate S553_20090408_FL_C28 polyprotein gene, partial cds"
OK552708,2022-09-13T00:00:00Z,S553_20090408_FL_C29,,USA,USA,,2009-04-08,"Hepacivirus C isolate S553_20090408_FL_C29 polyprotein gene, partial cds"
OK552709,2022-09-13T00:00:00Z,S553_20090408_FL_C30,,USA,USA,,2009-04-08,"Hepacivirus C isolate S553_20090408_FL_C30 polyprotein gene, partial cds"
OK552710,2022-09-13T00:00:00Z,S553_20090408_FL_C32,,USA,USA,,2009-04-08,"Hepacivirus C isolate S553_20090408_FL_C32 polyprotein gene, partial cds"
OK552711,2022-09-13T00:00:00Z,S553_20120314_FL_A01,,USA,USA,,2012-03-14,"Hepacivirus C isolate S553_20120314_FL_A01 polyprotein gene, partial cds"
OK552712,2022-09-13T00:00:00Z,S553_20120314_FL_A02,,USA,USA,,2012-03-14,"Hepacivirus C isolate S553_20120314_FL_A02 polyprotein gene, partial cds"
OK552713,2022-09-13T00:00:00Z,S553_20120314_FL_A04,,USA,USA,,2012-03-14,"Hepacivirus C isolate S553_20120314_FL_A04 polyprotein gene, partial cds"
OK552714,2022-09-13T00:00:00Z,S553_20120314_FL_A05,,USA,USA,,2012-03-14,"Hepacivirus C isolate S553_20120314_FL_A05 polyprotein gene, partial cds"
OK552715,2022-09-13T00:00:00Z,S553_20120314_FL_A06,,USA,USA,,2012-03-14,"Hepacivirus C isolate S553_20120314_FL_A06 polyprotein gene, partial cds"
OK552716,2022-09-13T00:00:00Z,S553_20120314_FL_A07,,USA,USA,,2012-03-14,"Hepacivirus C isolate S553_20120314_FL_A07 polyprotein gene, partial cds"
OK552717,2022-09-13T00:00:00Z,S553_20120314_FL_A13,,USA,USA,,2012-03-14,"Hepacivirus C isolate S553_20120314_FL_A13 polyprotein gene, partial cds"
OK552718,2022-09-13T00:00:00Z,S553_20120314_FL_A15,,USA,USA,,2012-03-14,"Hepacivirus C isolate S553_20120314_FL_A15 polyprotein gene, partial cds"
OK552719,2022-09-13T00:00:00Z,S553_20120314_FL_A16,,USA,USA,,2012-03-14,"Hepacivirus C isolate S553_20120314_FL_A16 polyprotein gene, partial cds"
OK552720,2022-09-13T00:00:00Z,S553_20120314_FL_A17,,USA,USA,,2012-03-14,"Hepacivirus C isolate S553_20120314_FL_A17 polyprotein gene, partial cds"
OK552721,2022-09-13T00:00:00Z,S553_20120314_FL_A18,,USA,USA,,2012-03-14,"Hepacivirus C isolate S553_20120314_FL_A18 polyprotein gene, partial cds"
OK552722,2022-09-13T00:00:00Z,S553_20120314_FL_A19,,USA,USA,,2012-03-14,"Hepacivirus C isolate S553_20120314_FL_A19 polyprotein gene, partial cds"
OK552723,2022-09-13T00:00:00Z,S553_20120314_FL_A23,,USA,USA,,2012-03-14,"Hepacivirus C isolate S553_20120314_FL_A23 polyprotein gene, partial cds"
OK552724,2022-09-13T00:00:00Z,S553_20120314_FL_A24,,USA,USA,,2012-03-14,"Hepacivirus C isolate S553_20120314_FL_A24 polyprotein gene, partial cds"
OK552725,2022-09-13T00:00:00Z,S553_20120314_FL_B01,,USA,USA,,2012-03-14,"Hepacivirus C isolate S553_20120314_FL_B01 polyprotein gene, partial cds"
OK552726,2022-09-13T00:00:00Z,S553_20120314_FL_B02,,USA,USA,,2012-03-14,"Hepacivirus C isolate S553_20120314_FL_B02 polyprotein gene, partial cds"
OK552727,2022-09-13T00:00:00Z,S553_20120314_FL_B03,,USA,USA,,2012-03-14,"Hepacivirus C isolate S553_20120314_FL_B03 polyprotein gene, partial cds"
OK552728,2022-09-13T00:00:00Z,S553_20120314_FL_B07,,USA,USA,,2012-03-14,"Hepacivirus C isolate S553_20120314_FL_B07 polyprotein gene, partial cds"
OK552729,2022-09-13T00:00:00Z,S553_20120314_FL_B13,,USA,USA,,2012-03-14,"Hepacivirus C isolate S553_20120314_FL_B13 polyprotein gene, partial cds"
OK552730,2022-09-13T00:00:00Z,S553_20120314_FL_B14,,USA,USA,,2012-03-14,"Hepacivirus C isolate S553_20120314_FL_B14 polyprotein gene, partial cds"
OK552731,2022-09-13T00:00:00Z,S553_20120314_FL_B15,,USA,USA,,2012-03-14,"Hepacivirus C isolate S553_20120314_FL_B15 polyprotein gene, partial cds"
OK552732,2022-09-13T00:00:00Z,S553_20120314_FL_B16,,USA,USA,,2012-03-14,"Hepacivirus C isolate S553_20120314_FL_B16 polyprotein gene, partial cds"
OK552733,2022-09-13T00:00:00Z,S553_20120314_FL_B17,,USA,USA,,2012-03-14,"Hepacivirus C isolate S553_20120314_FL_B17 polyprotein gene, partial cds"
OK552734,2022-09-13T00:00:00Z,S553_20120314_FL_B19,,USA,USA,,2012-03-14,"Hepacivirus C isolate S553_20120314_FL_B19 polyprotein gene, partial cds"
OK552735,2022-09-13T00:00:00Z,S553_20120314_FL_B20,,USA,USA,,2012-03-14,"Hepacivirus C isolate S553_20120314_FL_B20 polyprotein gene, partial cds"
OK552736,2022-09-13T00:00:00Z,S553_20120314_FL_B22,,USA,USA,,2012-03-14,"Hepacivirus C isolate S553_20120314_FL_B22 polyprotein gene, partial cds"
OK552737,2022-09-13T00:00:00Z,S553_20120314_FL_B23,,USA,USA,,2012-03-14,"Hepacivirus C isolate S553_20120314_FL_B23 polyprotein gene, partial cds"
OK552738,2022-09-13T00:00:00Z,S553_20120314_FL_B24,,USA,USA,,2012-03-14,"Hepacivirus C isolate S553_20120314_FL_B24 polyprotein gene, partial cds"
OK552739,2022-09-13T00:00:00Z,S553_20120314_FL_C01,,USA,USA,,2012-03-14,"Hepacivirus C isolate S553_20120314_FL_C01 polyprotein gene, partial cds"
OK552740,2022-09-13T00:00:00Z,S553_20120314_FL_C02,,USA,USA,,2012-03-14,"Hepacivirus C isolate S553_20120314_FL_C02 polyprotein gene, partial cds"
OK552741,2022-09-13T00:00:00Z,S553_20120314_FL_C05,,USA,USA,,2012-03-14,"UNVERIFIED_ASMBLY: Hepacivirus C isolate S553_20120314_FL_C05 polyprotein-like gene, partial sequence"
OK552742,2022-09-13T00:00:00Z,S553_20120822_Fl_A02,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_Fl_A02 polyprotein gene, partial cds"
OK552743,2022-09-13T00:00:00Z,S553_20120822_Fl_A03,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_Fl_A03 polyprotein gene, partial cds"
OK552744,2022-09-13T00:00:00Z,S553_20120822_Fl_A04,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_Fl_A04 polyprotein gene, partial cds"
OK552745,2022-09-13T00:00:00Z,S553_20120822_Fl_A05,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_Fl_A05 polyprotein gene, partial cds"
OK552746,2022-09-13T00:00:00Z,S553_20120822_Fl_A07,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_Fl_A07 polyprotein gene, partial cds"
OK552747,2022-09-13T00:00:00Z,S553_20120822_Fl_A09,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_Fl_A09 polyprotein gene, partial cds"
OK552748,2022-09-13T00:00:00Z,S553_20120822_Fl_A11,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_Fl_A11 polyprotein gene, partial cds"
OK552749,2022-09-13T00:00:00Z,S553_20120822_Fl_A12,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_Fl_A12 polyprotein gene, partial cds"
OK552750,2022-09-13T00:00:00Z,S553_20120822_Fl_A14,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_Fl_A14 polyprotein gene, partial cds"
OK552751,2022-09-13T00:00:00Z,S553_20120822_Fl_A16,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_Fl_A16 polyprotein gene, partial cds"
OK552752,2022-09-13T00:00:00Z,S553_20120822_Fl_A17,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_Fl_A17 polyprotein gene, partial cds"
OK552753,2022-09-13T00:00:00Z,S553_20120822_Fl_A18,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_Fl_A18 polyprotein gene, partial cds"
OK552754,2022-09-13T00:00:00Z,S553_20120822_Fl_A19,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_Fl_A19 polyprotein gene, partial cds"
OK552755,2022-09-13T00:00:00Z,S553_20120822_Fl_A21,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_Fl_A21 polyprotein gene, partial cds"
OK552756,2022-09-13T00:00:00Z,S553_20120822_Fl_A22,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_Fl_A22 polyprotein gene, partial cds"
OK552757,2022-09-13T00:00:00Z,S553_20120822_Fl_A23,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_Fl_A23 polyprotein gene, partial cds"
OK552758,2022-09-13T00:00:00Z,S553_20120822_Fl_A24,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_Fl_A24 polyprotein gene, partial cds"
OK552759,2022-09-13T00:00:00Z,S553_20120822_Fl_A26,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_Fl_A26 polyprotein gene, partial cds"
OK552760,2022-09-13T00:00:00Z,S553_20120822_Fl_A27,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_Fl_A27 polyprotein gene, partial cds"
OK552761,2022-09-13T00:00:00Z,S553_20120822_Fl_A31,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_Fl_A31 polyprotein gene, partial cds"
OK552762,2022-09-13T00:00:00Z,S553_20120822_Fl_A33,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_Fl_A33 polyprotein gene, partial cds"
OK552763,2022-09-13T00:00:00Z,S553_20120822_Fl_A35,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_Fl_A35 polyprotein gene, partial cds"
OK552764,2022-09-13T00:00:00Z,S553_20120822_Fl_A36,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_Fl_A36 polyprotein gene, partial cds"
OK552765,2022-09-13T00:00:00Z,S553_20120822_Fl_A42,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_Fl_A42 polyprotein gene, partial cds"
OK552766,2022-09-13T00:00:00Z,S553_20120822_FL_C01,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_FL_C01 polyprotein gene, partial cds"
OK552767,2022-09-13T00:00:00Z,S553_20120822_FL_C03,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_FL_C03 polyprotein gene, partial cds"
OK552768,2022-09-13T00:00:00Z,S553_20120822_FL_C04,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_FL_C04 polyprotein gene, partial cds"
OK552769,2022-09-13T00:00:00Z,S553_20120822_FL_C05,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_FL_C05 polyprotein gene, partial cds"
OK552770,2022-09-13T00:00:00Z,S553_20120822_FL_C07,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_FL_C07 polyprotein gene, partial cds"
OK552771,2022-09-13T00:00:00Z,S553_20120822_FL_C08,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_FL_C08 polyprotein gene, partial cds"
OK552772,2022-09-13T00:00:00Z,S553_20120822_FL_C09,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_FL_C09 polyprotein gene, partial cds"
OK552773,2022-09-13T00:00:00Z,S553_20120822_FL_C10,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_FL_C10 polyprotein gene, partial cds"
OK552774,2022-09-13T00:00:00Z,S553_20120822_FL_C11,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_FL_C11 polyprotein gene, partial cds"
OK552775,2022-09-13T00:00:00Z,S553_20120822_FL_C12,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_FL_C12 polyprotein gene, partial cds"
OK552776,2022-09-13T00:00:00Z,S553_20120822_FL_C13,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_FL_C13 polyprotein gene, partial cds"
OK552777,2022-09-13T00:00:00Z,S553_20120822_FL_C14,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_FL_C14 polyprotein gene, partial cds"
OK552778,2022-09-13T00:00:00Z,S553_20120822_FL_C15,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_FL_C15 polyprotein gene, partial cds"
OK552779,2022-09-13T00:00:00Z,S553_20120822_FL_C16,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_FL_C16 polyprotein gene, partial cds"
OK552780,2022-09-13T00:00:00Z,S553_20120822_FL_C17,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_FL_C17 polyprotein gene, partial cds"
OK552781,2022-09-13T00:00:00Z,S553_20120822_FL_C18,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_FL_C18 polyprotein gene, partial cds"
OK552782,2022-09-13T00:00:00Z,S553_20120822_FL_C19,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_FL_C19 polyprotein gene, partial cds"
OK552783,2022-09-13T00:00:00Z,S553_20120822_FL_C21,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_FL_C21 polyprotein gene, partial cds"
OK552784,2022-09-13T00:00:00Z,S553_20120822_FL_C22,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_FL_C22 polyprotein gene, partial cds"
OK552785,2022-09-13T00:00:00Z,S553_20120822_FL_C23,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_FL_C23 polyprotein gene, partial cds"
OK552786,2022-09-13T00:00:00Z,S553_20120822_FL_C24,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_FL_C24 polyprotein gene, partial cds"
OK552787,2022-09-13T00:00:00Z,S553_20120822_FL_C25,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_FL_C25 polyprotein gene, partial cds"
OK552788,2022-09-13T00:00:00Z,S553_20120822_FL_C26,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_FL_C26 polyprotein gene, partial cds"
OK552789,2022-09-13T00:00:00Z,S553_20120822_FL_C27,,USA,USA,,2012-08-22,"Hepacivirus C isolate S553_20120822_FL_C27 polyprotein gene, partial cds"
OK552790,2022-09-13T00:00:00Z,S553_20130122_Fl_A01,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_A01 polyprotein gene, partial cds"
OK552791,2022-09-13T00:00:00Z,S553_20130122_Fl_A02,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_A02 polyprotein gene, partial cds"
OK552792,2022-09-13T00:00:00Z,S553_20130122_Fl_A03,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_A03 polyprotein gene, partial cds"
OK552793,2022-09-13T00:00:00Z,S553_20130122_Fl_A04,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_A04 polyprotein gene, partial cds"
OK552794,2022-09-13T00:00:00Z,S553_20130122_Fl_A07,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_A07 polyprotein gene, partial cds"
OK552795,2022-09-13T00:00:00Z,S553_20130122_Fl_A08,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_A08 polyprotein gene, partial cds"
OK552796,2022-09-13T00:00:00Z,S553_20130122_Fl_A10,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_A10 polyprotein gene, partial cds"
OK552797,2022-09-13T00:00:00Z,S553_20130122_Fl_A11,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_A11 polyprotein gene, partial cds"
OK552798,2022-09-13T00:00:00Z,S553_20130122_Fl_A15,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_A15 polyprotein gene, partial cds"
OK552799,2022-09-13T00:00:00Z,S553_20130122_Fl_A16,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_A16 polyprotein gene, partial cds"
OK552800,2022-09-13T00:00:00Z,S553_20130122_Fl_A17,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_A17 polyprotein gene, partial cds"
OK552801,2022-09-13T00:00:00Z,S553_20130122_Fl_A18,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_A18 polyprotein gene, partial cds"
OK552802,2022-09-13T00:00:00Z,S553_20130122_Fl_A19,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_A19 polyprotein gene, partial cds"
OK552803,2022-09-13T00:00:00Z,S553_20130122_Fl_A21,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_A21 polyprotein gene, partial cds"
OK552804,2022-09-13T00:00:00Z,S553_20130122_Fl_A23,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_A23 polyprotein gene, partial cds"
OK552805,2022-09-13T00:00:00Z,S553_20130122_Fl_A24,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_A24 polyprotein gene, partial cds"
OK552806,2022-09-13T00:00:00Z,S553_20130122_Fl_A25,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_A25 polyprotein gene, partial cds"
OK552807,2022-09-13T00:00:00Z,S553_20130122_Fl_B01,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_B01 polyprotein gene, partial cds"
OK552808,2022-09-13T00:00:00Z,S553_20130122_Fl_B02,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_B02 polyprotein gene, partial cds"
OK552809,2022-09-13T00:00:00Z,S553_20130122_Fl_B03,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_B03 polyprotein gene, partial cds"
OK552810,2022-09-13T00:00:00Z,S553_20130122_Fl_B04,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_B04 polyprotein gene, partial cds"
OK552811,2022-09-13T00:00:00Z,S553_20130122_Fl_B06,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_B06 polyprotein gene, partial cds"
OK552812,2022-09-13T00:00:00Z,S553_20130122_Fl_B07,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_B07 polyprotein gene, partial cds"
OK552813,2022-09-13T00:00:00Z,S553_20130122_Fl_B08,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_B08 polyprotein gene, partial cds"
OK552814,2022-09-13T00:00:00Z,S553_20130122_Fl_B09,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_B09 polyprotein gene, partial cds"
OK552815,2022-09-13T00:00:00Z,S553_20130122_Fl_B10,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_B10 polyprotein gene, partial cds"
OK552816,2022-09-13T00:00:00Z,S553_20130122_Fl_B13,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_B13 polyprotein gene, partial cds"
OK552817,2022-09-13T00:00:00Z,S553_20130122_Fl_B15,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_B15 polyprotein gene, partial cds"
OK552818,2022-09-13T00:00:00Z,S553_20130122_Fl_B17,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_B17 polyprotein gene, partial cds"
OK552819,2022-09-13T00:00:00Z,S553_20130122_Fl_B18,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_B18 polyprotein gene, partial cds"
OK552820,2022-09-13T00:00:00Z,S553_20130122_Fl_B19,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_B19 polyprotein gene, partial cds"
OK552821,2022-09-13T00:00:00Z,S553_20130122_Fl_B21,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_B21 polyprotein gene, partial cds"
OK552822,2022-09-13T00:00:00Z,S553_20130122_Fl_B22,,USA,USA,,2013-01-22,"Hepacivirus C isolate S553_20130122_Fl_B22 polyprotein gene, partial cds"
