strain	Accession	source	country	division	location	date	original_annotated_subtype	original_annotated_genotype	clade_membership
HCV/S553_20090408_FL_C19/OK552699/USA/2009	KJ567651	ictv	USA	?	?	XXXX-XX-XX	6xc	6	?
HCV/S553_20090408_FL_C20/OK552700/USA/2009	KJ567652	ictv	USA	?	?	XXXX-XX-XX	6	6	?
HCV/S553_20090408_FL_C21/OK552701/USA/2009	KJ470618	ictv	USA	?	?	XXXX-XX-XX	3e	3	?
HCV/S553_20090408_FL_C22/OK552702/USA/2009	KJ470619	ictv	USA	?	?	XXXX-XX-XX	3d	3	?
HCV/S553_20090408_FL_C23/OK552703/USA/2009	KJ470620	ictv	USA	?	?	XXXX-XX-XX	6	6	?
HCV/S553_20090408_FL_C25/OK552704/USA/2009	KJ470621	ictv	USA	?	?	XXXX-XX-XX	6	6	?
HCV/S553_20090408_FL_C27/OK552706/USA/2009	KJ470623	ictv	USA	?	?	XXXX-XX-XX	6	6	?
HCV/S553_20090408_FL_C28/OK552707/USA/2009	KJ470624	ictv	USA	?	?	XXXX-XX-XX	6	6	?
HCV/S553_20090408_FL_C29/OK552708/USA/2009	KJ470625	ictv	USA	?	?	XXXX-XX-XX	6	6	?
HCV/S553_20090408_FL_C30/OK552709/USA/2009	KJ439768	ictv	USA	?	?	XXXX-XX-XX	1d	1	?
HCV/S553_20090408_FL_C32/OK552710/USA/2009	KJ439772	ictv	USA	?	?	XXXX-XX-XX	1i	1	?
HCV/S553_20120314_FL_A01/OK552711/USA/2012	KJ439773	ictv	USA	?	?	XXXX-XX-XX	1j	1	?
HCV/S553_20120314_FL_A02/OK552712/USA/2012	KJ439774	ictv	USA	?	?	XXXX-XX-XX	1k	1	?
HCV/S553_20120314_FL_A04/OK552713/USA/2012	KJ439775	ictv	USA	?	?	XXXX-XX-XX	1n	1	?
HCV/S553_20120314_FL_A05/OK552714/USA/2012	KJ439776	ictv	USA	?	?	XXXX-XX-XX	1	1	?
HCV/S553_20120314_FL_A06/OK552715/USA/2012	KJ439777	ictv	USA	?	?	XXXX-XX-XX	1	1	?
HCV/S553_20120314_FL_A07/OK552716/USA/2012	KJ439778	ictv	USA	?	?	XXXX-XX-XX	1m	1	?
HCV/S553_20120314_FL_A13/OK552717/USA/2012	KJ439779	ictv	USA	?	?	XXXX-XX-XX	1o	1	?
HCV/S553_20120314_FL_A15/OK552718/USA/2012	KJ439780	ictv	USA	?	?	XXXX-XX-XX	1	1	?
HCV/S553_20120314_FL_A16/OK552719/USA/2012	KJ439781	ictv	USA	?	?	XXXX-XX-XX	1n	1	?
HCV/S553_20120314_FL_A17/OK552720/USA/2012	KJ439782	ictv	USA	?	?	XXXX-XX-XX	1m	1	?
HCV/S553_20120314_FL_A18/OK552721/USA/2012	JF735127	ictv	USA	?	?	XXXX-XX-XX	4	4	?
HCV/S553_20120314_FL_A19/OK552722/USA/2012	JF735129	ictv	USA	?	?	XXXX-XX-XX	4	4	?
HCV/S553_20120314_FL_A23/OK552723/USA/2012	JF735130	ictv	USA	?	?	XXXX-XX-XX	4	4	?
HCV/S553_20120314_FL_A24/OK552724/USA/2012	JF735131	ictv	USA	?	?	XXXX-XX-XX	4	4	?
HCV/S553_20120314_FL_B01/OK552725/USA/2012	JF735132	ictv	USA	?	?	XXXX-XX-XX	4	4	?
HCV/S553_20120314_FL_B02/OK552726/USA/2012	JF735134	ictv	USA	?	?	XXXX-XX-XX	4	4	?
HCV/S553_20120314_FL_B03/OK552727/USA/2012	JF735135	ictv	USA	?	?	XXXX-XX-XX	4	4	?
HCV/S553_20120314_FL_B07/OK552728/USA/2012	JF735136	ictv	USA	?	?	XXXX-XX-XX	4s	4	?
HCV/S553_20120314_FL_B13/OK552729/USA/2012	JF735138	ictv	USA	?	?	XXXX-XX-XX	4	4	?
HCV/S553_20120314_FL_B14/OK552730/USA/2012	KC844039	ictv	USA	?	?	2009-XX-XX	6	6	6
HCV/S553_20120314_FL_B15/OK552731/USA/2012	KC844040	ictv	USA	?	?	2009-XX-XX	6	6	6
HCV/S553_20120314_FL_B16/OK552732/USA/2012	KC844042	ictv	USA	?	?	2010-XX-XX	2f	2	2
HCV/S553_20120314_FL_B17/OK552733/USA/2012	KC844050	ictv	USA	?	?	2002-XX-XX	2f	2	2
HCV/S553_20120314_FL_B19/OK552734/USA/2012	KC197236	ictv	USA	?	?	1995-XX-XX	2	2	2
HCV/S553_20120314_FL_B20/OK552735/USA/2012	KC197237	ictv	USA	?	?	2001-XX-XX	2	2	2
HCV/S553_20120314_FL_B22/OK552736/USA/2012	KC197238	ictv	USA	?	?	1995-XX-XX	2t	2	2
HCV/S553_20120314_FL_B23/OK552737/USA/2012	KC197239	ictv	USA	?	?	2009-XX-XX	2	2	2
HCV/S553_20120314_FL_B24/OK552738/USA/2012	KC248193	ictv	USA	?	?	XXXX-XX-XX	1l	1	?
HCV/S553_20120314_FL_C01/OK552739/USA/2012	KC248194	ictv	USA	?	?	XXXX-XX-XX	1e	1	?
HCV/S553_20120314_FL_C02/OK552740/USA/2012	KC248195	ictv	USA	?	?	XXXX-XX-XX	1	1	?
HCV/S553_20120822_FL_A02/OK552742/USA/2012	KC248197	ictv	USA	?	?	XXXX-XX-XX	1l	1	?
HCV/S553_20120822_FL_A03/OK552743/USA/2012	KC248198	ictv	USA	?	?	XXXX-XX-XX	1h	1	?
HCV/S553_20120822_FL_A04/OK552744/USA/2012	KC248199	ictv	USA	?	?	XXXX-XX-XX	1h	1	?
HCV/S553_20120822_FL_A05/OK552745/USA/2012	JF735126	ictv	USA	?	?	XXXX-XX-XX	3h	3	?
HCV/S553_20120822_FL_A07/OK552746/USA/2012	JF735121	ictv	USA	?	?	XXXX-XX-XX	3h	3	?
HCV/S553_20120822_FL_A09/OK552747/USA/2012	JF735122	ictv	USA	?	?	XXXX-XX-XX	3k	3	?
HCV/S553_20120822_FL_A11/OK552748/USA/2012	JF735123	ictv	USA	?	?	XXXX-XX-XX	3g	3	?
HCV/S553_20120822_FL_A12/OK552749/USA/2012	JF735124	ictv	USA	?	?	XXXX-XX-XX	3	3	?
HCV/S553_20120822_FL_A14/OK552750/USA/2012	JX227949	ictv	USA	?	?	XXXX-XX-XX	2c	2	?
HCV/S553_20120822_FL_A16/OK552751/USA/2012	JX227953	ictv	USA	?	?	XXXX-XX-XX	2k	2	?
HCV/S553_20120822_FL_A17/OK552752/USA/2012	JX227954	ictv	USA	?	?	XXXX-XX-XX	3g	3	?
HCV/S553_20120822_FL_A18/OK552753/USA/2012	JX227955	ictv	USA	?	?	XXXX-XX-XX	3i	3	?
HCV/S553_20120822_FL_A19/OK552754/USA/2012	JX227957	ictv	USA	?	?	XXXX-XX-XX	4l	4	?
HCV/S553_20120822_FL_A21/OK552755/USA/2012	JX227959	ictv	USA	?	?	XXXX-XX-XX	4v	4	?
HCV/S553_20120822_FL_A22/OK552756/USA/2012	JX227960	ictv	USA	?	?	XXXX-XX-XX	4v	4	?
HCV/S553_20120822_FL_A23/OK552757/USA/2012	JX227963	ictv	USA	?	?	XXXX-XX-XX	4g?	4	?
HCV/S553_20120822_FL_A24/OK552758/USA/2012	JX227964	ictv	USA	?	?	XXXX-XX-XX	4	4	?
HCV/S553_20120822_FL_A26/OK552759/USA/2012	JX227967	ictv	USA	?	?	XXXX-XX-XX	2m	2	?
HCV/S553_20120822_FL_A27/OK552760/USA/2012	JX227970	ictv	USA	?	?	XXXX-XX-XX	4n	4	?
HCV/S553_20120822_FL_A31/OK552761/USA/2012	JX227971	ictv	USA	?	?	XXXX-XX-XX	4g	4	?
HCV/S553_20120822_FL_A33/OK552762/USA/2012	JX227972	ictv	USA	?	?	XXXX-XX-XX	4m	4	?
HCV/S553_20120822_FL_A35/OK552763/USA/2012	JX227976	ictv	USA	?	?	XXXX-XX-XX	4r	4	?
HCV/S553_20120822_FL_A36/OK552764/USA/2012	JX227977	ictv	USA	?	?	XXXX-XX-XX	4o	4	?
HCV/S553_20120822_FL_A42/OK552765/USA/2012	JX183549	ictv	USA	?	?	XXXX-XX-XX	6xi	6	?
HCV/S553_20120822_FL_C01/OK552766/USA/2012	JX183550	ictv	USA	?	?	XXXX-XX-XX	6	6	?
HCV/S553_20120822_FL_C03/OK552767/USA/2012	JX183551	ictv	USA	?	?	XXXX-XX-XX	6	6	?
HCV/S553_20120822_FL_C04/OK552768/USA/2012	JX183552	ictv	USA	?	?	XXXX-XX-XX	6xb	6	?
HCV/S553_20120822_FL_C05/OK552769/USA/2012	JX183553	ictv	USA	?	?	XXXX-XX-XX	6	6	?
HCV/S553_20120822_FL_C07/OK552770/USA/2012	JX183554	ictv	USA	?	?	XXXX-XX-XX	6	6	?
HCV/S553_20120822_FL_C08/OK552771/USA/2012	JX183556	ictv	USA	?	?	XXXX-XX-XX	6l	6	?
HCV/S553_20120822_FL_C09/OK552772/USA/2012	JX183557	ictv	USA	?	?	XXXX-XX-XX	6xe	6	?
HCV/S553_20120822_FL_C10/OK552773/USA/2012	JX183558	ictv	USA	?	?	XXXX-XX-XX	6	6	?
HCV/S553_20120822_FL_C11/OK552774/USA/2012	JQ065709	ictv	USA	?	?	2011-08-22	3b	3	3
HCV/S553_20120822_FL_C12/OK552775/USA/2012	JF735110	ictv	USA	?	?	XXXX-XX-XX	2	2	?
HCV/S553_20120822_FL_C13/OK552776/USA/2012	JF735111	ictv	USA	?	?	XXXX-XX-XX	2m	2	?
HCV/S553_20120822_FL_C14/OK552777/USA/2012	JF735112	ictv	USA	?	?	XXXX-XX-XX	2u	2	?
HCV/S553_20120822_FL_C15/OK552778/USA/2012	JF735113	ictv	USA	?	?	XXXX-XX-XX	2j	2	?
HCV/S553_20120822_FL_C16/OK552779/USA/2012	JF735114	ictv	USA	?	?	XXXX-XX-XX	2d	2	?
HCV/S553_20120822_FL_C17/OK552780/USA/2012	JF735115	ictv	USA	?	?	XXXX-XX-XX	2r	2	?
HCV/S553_20120822_FL_C18/OK552781/USA/2012	JF735116	ictv	USA	?	?	XXXX-XX-XX	2	2	?
HCV/S553_20120822_FL_C19/OK552782/USA/2012	JF735117	ictv	USA	?	?	XXXX-XX-XX	2	2	?
HCV/S553_20120822_FL_C21/OK552783/USA/2012	JF735118	ictv	USA	?	?	XXXX-XX-XX	2	2	?
HCV/S553_20120822_FL_C22/OK552784/USA/2012	JF735119	ictv	USA	?	?	XXXX-XX-XX	2	2	?
HCV/S553_20120822_FL_C23/OK552785/USA/2012	JF735120	ictv	USA	?	?	XXXX-XX-XX	2e	2	?
HCV/S553_20120822_FL_C24/OK552786/USA/2012	JN714194	ictv	USA	?	?	2011-06-11	3a	3	3
HCV/S553_20120822_FL_C25/OK552787/USA/2012	HQ850279	ictv	USA	?	?	XXXX-XX-XX	1a	1	?
HCV/S553_20120822_FL_C26/OK552788/USA/2012	AB661382	ictv	USA	?	?	XXXX-XX-XX	2b	2	?
HCV/S553_20120822_FL_C27/OK552789/USA/2012	AB661388	ictv	USA	?	?	XXXX-XX-XX	2b	2	?
HCV/S553_20130122_FL_A01/OK552790/USA/2013	HQ639936	ictv	USA	?	?	XXXX-XX-XX	6a	6	?
HCV/S553_20130122_FL_A02/OK552791/USA/2013	HQ639944	ictv	USA	?	?	XXXX-XX-XX	2a	2	?
HCV/S553_20130122_FL_A03/OK552792/USA/2013	HQ537007	ictv	USA	?	?	2005-05-09	1	1	1
HCV/S553_20130122_FL_A04/OK552793/USA/2013	HQ537008	ictv	USA	?	?	2005-06-14	4v	4	?
HCV/S553_20130122_FL_A07/OK552794/USA/2013	HQ537009	ictv	USA	?	?	2006-02-13	4v	4	4
HCV/S553_20130122_FL_A08/OK552795/USA/2013	FN666428	ictv	USA	?	?	2002-XX-XX	2q	2	2
HCV/S553_20130122_FL_A10/OK552796/USA/2013	FN666429	ictv	USA	?	?	2001-XX-XX	2q	2	2
HCV/S553_20130122_FL_A11/OK552797/USA/2013	HM777358	ictv	USA	?	?	2006-11-09	2j	2	?
HCV/S553_20130122_FL_A15/OK552798/USA/2013	HM777359	ictv	USA	?	?	2005-11-14	2j	2	2
HCV/S553_20130122_FL_A16/OK552799/USA/2013	FJ407092	ictv	USA	?	?	2002-06-02	3i	3	3
HCV/S553_20130122_FL_A17/OK552800/USA/2013	FJ839869	ictv	USA	?	?	XXXX-XX-XX	4t	4	?
HCV/S553_20130122_FL_A18/OK552801/USA/2013	FJ839870	ictv	USA	?	?	XXXX-XX-XX	4l	4	?
HCV/S553_20130122_FL_A19/OK552802/USA/2013	FJ462431	ictv	USA	?	?	XXXX-XX-XX	4p	4	?
HCV/S553_20130122_FL_A21/OK552803/USA/2013	FJ462432	ictv	USA	?	?	XXXX-XX-XX	4g	4	?
HCV/S553_20130122_FL_A23/OK552804/USA/2013	FJ462433	ictv	USA	?	?	XXXX-XX-XX	4m	4	?
HCV/S553_20130122_FL_A24/OK552805/USA/2013	FJ462434	ictv	USA	?	?	XXXX-XX-XX	4q	4	?
HCV/S553_20130122_FL_A25/OK552806/USA/2013	FJ462435	ictv	USA	?	?	XXXX-XX-XX	4b	4	?
HCV/S553_20130122_FL_B01/OK552807/USA/2013	FJ462436	ictv	USA	?	?	XXXX-XX-XX	4c	4	?
HCV/S553_20130122_FL_B02/OK552808/USA/2013	FJ462437	ictv	USA	?	?	XXXX-XX-XX	4d	4	?
HCV/S553_20130122_FL_B03/OK552809/USA/2013	FJ462438	ictv	USA	?	?	XXXX-XX-XX	4k	4	?
HCV/S553_20130122_FL_B04/OK552810/USA/2013	FJ462439	ictv	USA	?	?	XXXX-XX-XX	4r	4	?
HCV/S553_20130122_FL_B06/OK552811/USA/2013	FJ462440	ictv	USA	?	?	XXXX-XX-XX	4o	4	?
HCV/S553_20130122_FL_B07/OK552812/USA/2013	FJ462441	ictv	USA	?	?	XXXX-XX-XX	4n	4	?
HCV/S553_20130122_FL_B08/OK552813/USA/2013	EU158186	ictv	USA	?	?	2004-08-XX	6v	6	6
HCV/S553_20130122_FL_B09/OK552814/USA/2013	EU781827	ictv	USA	?	?	XXXX-XX-XX	1b	1	?
HCV/S553_20130122_FL_B10/OK552815/USA/2013	EU781828	ictv	USA	?	?	XXXX-XX-XX	1b	1	?
HCV/S553_20130122_FL_B13/OK552816/USA/2013	EU408328	ictv	USA	?	?	XXXX-XX-XX	6r	6	?
HCV/S553_20130122_FL_B15/OK552817/USA/2013	EU408329	ictv	USA	?	?	XXXX-XX-XX	6s	6	?
HCV/S553_20130122_FL_B17/OK552818/USA/2013	EU643834	ictv	USA	?	?	XXXX-XX-XX	6w	6	?
HCV/S553_20130122_FL_B18/OK552819/USA/2013	EU643836	ictv	USA	?	?	XXXX-XX-XX	6w	6	?
HCV/S553_20130122_FL_B19/OK552820/USA/2013	EU408330	ictv	USA	?	?	XXXX-XX-XX	6xa	6	?
HCV/S553_20130122_FL_B21/OK552821/USA/2013	EU408331	ictv	USA	?	?	XXXX-XX-XX	6xa	6	?
HCV/S553_20130122_FL_B22/OK552822/USA/2013	EU408332	ictv	USA	?	?	XXXX-XX-XX	6xa	6	?
HCV/S553_20130122_FL_B23/OK552823/USA/2013	EU798760	ictv	USA	?	?	XXXX-XX-XX	6v	6	?
HCV/S553_20130122_FL_B24/OK552824/USA/2013	EU798761	ictv	USA	?	?	XXXX-XX-XX	6v	6	?
HCV/S553_20130530_FL_T01/OK552825/USA/2013	FJ025854	ictv	USA	?	?	XXXX-XX-XX	4	4	?
HCV/S553_20130530_FL_T02/OK552826/USA/2013	FJ025855	ictv	USA	?	?	XXXX-XX-XX	4w	4	?
HCV/S553_20130530_FL_T03/OK552827/USA/2013	FJ025856	ictv	USA	?	?	XXXX-XX-XX	4w	4	?
HCV/S553_20130530_FL_T04/OK552828/USA/2013	AM910652	ictv	USA	?	?	XXXX-XX-XX	1g	1	?
HCV/S553_20130530_FL_T05/OK552829/USA/2013	EU392171	ictv	USA	?	?	XXXX-XX-XX	4k	4	?
HCV/S553_20130530_FL_T06/OK552830/USA/2013	EU392172	ictv	USA	?	?	XXXX-XX-XX	4d	4	?
HCV/S553_20130530_FL_T07/OK552831/USA/2013	EU392173	ictv	USA	?	?	XXXX-XX-XX	4k	4	?
HCV/S553_20130822_FL_A02/OK552832/USA/2013	EU392174	ictv	USA	?	?	XXXX-XX-XX	4f	4	?
HCV/S553_20130822_FL_A03/OK552833/USA/2013	EU392175	ictv	USA	?	?	XXXX-XX-XX	4f	4	?
HCV/S553_20130822_FL_A04/OK552834/USA/2013	EU246930	ictv	USA	?	?	XXXX-XX-XX	6a	6	?
HCV/S553_20130822_FL_A05/OK552835/USA/2013	EU246931	ictv	USA	?	?	XXXX-XX-XX	6	6	?
HCV/S553_20130822_FL_A07/OK552836/USA/2013	EU246932	ictv	USA	?	?	XXXX-XX-XX	6e	6	?
HCV/S553_20130822_FL_A09/OK552837/USA/2013	EU246934	ictv	USA	?	?	XXXX-XX-XX	6o	6	?
HCV/S553_20130822_FL_A11/OK552838/USA/2013	EU246936	ictv	USA	?	?	XXXX-XX-XX	6f	6	?
HCV/S553_20130822_FL_A12/OK552839/USA/2013	EU246938	ictv	USA	?	?	XXXX-XX-XX	6n	6	?
HCV/S553_20130822_FL_A13/OK552840/USA/2013	EU246939	ictv	USA	?	?	XXXX-XX-XX	6t	6	?
HCV/S553_20130822_FL_A15/OK552841/USA/2013	EU246940	ictv	USA	?	?	XXXX-XX-XX	6u	6	?
HCV/S553_20130822_FL_A16/OK552842/USA/2013	EF632071	ictv	USA	?	?	XXXX-XX-XX	6t	6	?
HCV/S553_20130822_FL_A17/OK552843/USA/2013	EF108306	ictv	USA	?	?	XXXX-XX-XX	7a	7	?
HCV/S553_20130822_FL_A18/OK552844/USA/2013	EF589161	ictv	USA	?	?	XXXX-XX-XX	4f	4	?
HCV/S553_20130822_FL_A19/OK552845/USA/2013	DQ988074	ictv	USA	?	?	2006-XX-XX	4a	4	?
HCV/S553_20130822_FL_A22/OK552846/USA/2013	EF407457	ictv	USA	?	?	XXXX-XX-XX	1a	1	?
HCV/S553_20130822_FL_A23/OK552847/USA/2013	EF424625	ictv	USA	?	?	XXXX-XX-XX	6q	6	?
HCV/S553_20130822_FL_A24/OK552848/USA/2013	EF424626	ictv	USA	?	?	XXXX-XX-XX	6p	6	?
HCV/S553_20130822_FL_B03/OK552849/USA/2013	EF424627	ictv	USA	?	?	XXXX-XX-XX	6o	6	?
HCV/S553_20130822_FL_B04/OK552850/USA/2013	EF424628	ictv	USA	?	?	XXXX-XX-XX	6l	6	?
HCV/S553_20130822_FL_B05/OK552851/USA/2013	EF424629	ictv	USA	?	?	XXXX-XX-XX	6c	6	?
HCV/S553_20130822_FL_B06/OK552852/USA/2013	DQ835760	ictv	USA	?	?	XXXX-XX-XX	6f	6	?
HCV/S553_20130822_FL_B07/OK552853/USA/2013	DQ835761	ictv	USA	?	?	XXXX-XX-XX	6j	6	?
HCV/S553_20130822_FL_B08/OK552854/USA/2013	DQ835762	ictv	USA	?	?	XXXX-XX-XX	6i	6	?
HCV/S553_20130822_FL_B12/OK552855/USA/2013	DQ835766	ictv	USA	?	?	XXXX-XX-XX	6m	6	?
HCV/S553_20130822_FL_B13/OK552856/USA/2013	DQ835767	ictv	USA	?	?	XXXX-XX-XX	6m	6	?
HCV/S553_20130822_FL_B14/OK552857/USA/2013	DQ835768	ictv	USA	?	?	XXXX-XX-XX	6n	6	?
HCV/S553_20130822_FL_B15/OK552858/USA/2013	DQ835769	ictv	USA	?	?	XXXX-XX-XX	6j	6	?
HCV/S553_20130822_FL_B18/OK552859/USA/2013	DQ835770	ictv	USA	?	?	XXXX-XX-XX	6i	6	?
HCV/S553_20130822_FL_B20/OK552860/USA/2013	DQ314805	ictv	USA	?	?	XXXX-XX-XX	6e	6	?
HCV/S553_20130822_FL_B21/OK552861/USA/2013	DQ314806	ictv	USA	?	?	XXXX-XX-XX	6g	6	?
HCV/S553_20130822_FL_B24/OK552862/USA/2013	DQ418786	ictv	USA	?	?	XXXX-XX-XX	4d	4	?
HCV/S553_20131105_FL_A02/OK552864/USA/2013	DQ278892	ictv	USA	?	?	XXXX-XX-XX	6w	6	?
HCV/S553_20131105_FL_A03/OK552865/USA/2013	DQ278891	ictv	USA	?	?	XXXX-XX-XX	6xj	6	?
HCV/S553_20131105_FL_A06/OK552866/USA/2013	DQ278893	ictv	USA	?	?	XXXX-XX-XX	6xj	6	?
HCV/S553_20131105_FL_A08/OK552867/USA/2013	DQ278894	ictv	USA	?	?	XXXX-XX-XX	6n	6	?
HCV/S553_20131105_FL_A10/OK552868/USA/2013	AJ851228	ictv	USA	?	?	XXXX-XX-XX	1	1	?
HCV/S553_20131105_FL_A11/OK552869/USA/2013	DQ155561	ictv	USA	?	?	XXXX-XX-XX	2i	2	?
HCV/S553_20131105_FL_A14/OK552870/USA/2013	AY859526	ictv	USA	?	?	XXXX-XX-XX	6a	6	?
HCV/S553_20131105_FL_A15/OK552871/USA/2013	AY651061	ictv	USA	?	?	XXXX-XX-XX	1c	1	?
HCV/S553_20131105_FL_A16/OK552872/USA/2013	AY051292	ictv	USA	?	?	XXXX-XX-XX	1c	1	?
HCV/S553_20131105_FL_A18/OK552873/USA/2013	AB047639	ictv	USA	?	?	XXXX-XX-XX	2a	2	?
HCV/S553_20131105_FL_A24/OK552874/USA/2013	AJ278830	ictv	USA	?	?	XXXX-XX-XX	1a	1	?
HCV/S553_20131105_FL_A29/OK552875/USA/2013	AB030907	ictv	USA	?	?	XXXX-XX-XX	2b	2	?
HCV/S553_20131105_FL_A31/OK552876/USA/2013	AB031663	ictv	USA	?	?	XXXX-XX-XX	2k	2	?
HCV/S553_20131105_FL_A39/OK552877/USA/2013	AF064490	ictv	USA	?	?	XXXX-XX-XX	5a	5	?
HCV/S553_20131105_FL_C03/OK552878/USA/2013	D84262	ictv	USA	?	?	XXXX-XX-XX	6b	6	?
HCV/S553_20131105_FL_C04/OK552879/USA/2013	D84263	ictv	USA	?	?	XXXX-XX-XX	6d	6	?
HCV/S553_20131105_FL_C05/OK552880/USA/2013	D84264	ictv	USA	?	?	XXXX-XX-XX	6k	6	?
HCV/S553_20131105_FL_C07/OK552881/USA/2013	D84265	ictv	USA	?	?	XXXX-XX-XX	6h	6	?
HCV/S553_20131105_FL_C08/OK552882/USA/2013	Y13184	ictv	USA	?	?	XXXX-XX-XX	5a	5	?
HCV/S553_20131105_FL_C09/OK552883/USA/2013	Y12083	ictv	USA	?	?	XXXX-XX-XX	6a	6	?
HCV/S553_20131105_FL_C10/OK552884/USA/2013	AF009606	ictv	USA	?	?	XXXX-XX-XX	1a	1	?
HCV/S553_20131105_FL_C12/OK552885/USA/2013	Y11604	ictv	USA	?	?	XXXX-XX-XX	4a	4	?
HCV/S553_20131105_FL_C13/OK552886/USA/2013	D50409	ictv	USA	?	?	XXXX-XX-XX	2c	2	?
HCV/S553_20131105_FL_C14/OK552887/USA/2013	D63821	ictv	USA	?	?	XXXX-XX-XX	3k	3	?
HCV/S553_20131105_FL_C15/OK552888/USA/2013	D63822	ictv	USA	?	?	XXXX-XX-XX	6g	6	?
