strain	Accession	source	country	division	location	date	original_annotated_subtype	original_annotated_genotype	clade_membership
HCV/HCV176_S/OM896907/CHINA/2011	OM896907	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV177/OM896908/CHINA/2011	OM896908	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV178_S/OM896909/CHINA/2011	OM896909	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV179_S/OM896910/CHINA/2011	OM896910	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV180_S/OM896911/CHINA/2011	OM896911	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV181_S/OM896912/CHINA/2011	OM896912	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV182/OM896913/CHINA/2011	OM896913	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV183_S/OM896914/CHINA/2011	OM896914	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV184/OM896915/CHINA/2011	OM896915	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV185/OM896916/CHINA/2011	OM896916	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV186_S/OM896917/CHINA/2011	OM896917	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV187/OM896918/CHINA/2011	OM896918	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV188/OM896919/CHINA/2011	OM896919	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV189/OM896920/CHINA/2011	OM896920	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV190/OM896921/CHINA/2011	OM896921	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV191_S/OM896922/CHINA/2011	OM896922	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV192_S/OM896923/CHINA/2011	OM896923	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV193/OM896924/CHINA/2011	OM896924	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV194/OM896925/CHINA/2011	OM896925	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV195_S/OM896926/CHINA/2011	OM896926	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV196/OM896927/CHINA/2011	OM896927	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV197_S/OM896928/CHINA/2011	OM896928	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV198_S/OM896929/CHINA/2011	OM896929	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV199_S/OM896930/CHINA/2011	OM896930	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV200/OM896931/CHINA/2011	OM896931	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV201_S/OM896932/CHINA/2011	OM896932	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV202/OM896933/CHINA/2011	OM896933	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV203_S/OM896934/CHINA/2011	OM896934	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV204_S/OM896935/CHINA/2011	OM896935	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV205_S/OM896936/CHINA/2011	OM896936	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV206_S/OM896937/CHINA/2011	OM896937	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV207/OM896938/CHINA/2011	OM896938	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV208_S/OM896939/CHINA/2011	OM896939	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV209/OM896940/CHINA/2011	OM896940	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV210_S/OM896941/CHINA/2011	OM896941	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV211/OM896942/CHINA/2011	OM896942	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV213_S/OM896943/CHINA/2010	OM896943	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV214_S/OM896944/CHINA/2010	OM896944	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV001/OM896945/CHINA/2009	OM896945	ncbi	China	?	?	2009-XX-XX	?	?	3
HCV/HCV002/OM896946/CHINA/2008	OM896946	ncbi	China	?	?	2008-XX-XX	?	?	3
HCV/HCV003/OM896947/CHINA/2008	OM896947	ncbi	China	?	?	2008-XX-XX	?	?	3
HCV/HCV004/OM896948/CHINA/2009	OM896948	ncbi	China	?	?	2009-XX-XX	?	?	3
HCV/HCV005/OM896949/CHINA/2009	OM896949	ncbi	China	?	?	2009-XX-XX	?	?	3
HCV/HCV006/OM896950/CHINA/2009	OM896950	ncbi	China	?	?	2009-XX-XX	?	?	3
HCV/HCV007/OM896951/CHINA/2009	OM896951	ncbi	China	?	?	2009-XX-XX	?	?	3
HCV/HCV008/OM896952/CHINA/2009	OM896952	ncbi	China	?	?	2009-XX-XX	?	?	3
HCV/HCV009/OM896953/CHINA/2010	OM896953	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV010/OM896954/CHINA/2010	OM896954	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV011/OM896955/CHINA/2010	OM896955	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV012/OM896956/CHINA/2010	OM896956	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV013/OM896957/CHINA/2010	OM896957	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV014/OM896958/CHINA/2010	OM896958	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV015/OM896959/CHINA/2010	OM896959	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV016/OM896960/CHINA/2010	OM896960	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV017/OM896961/CHINA/2010	OM896961	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV018/OM896962/CHINA/2010	OM896962	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV019/OM896963/CHINA/2010	OM896963	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV020/OM896964/CHINA/2011	OM896964	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV021/OM896965/CHINA/2011	OM896965	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV022/OM896966/CHINA/2011	OM896966	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV023/OM896967/CHINA/2011	OM896967	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV024/OM896968/CHINA/2011	OM896968	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV025/OM896969/CHINA/2011	OM896969	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV027/OM896970/CHINA/2011	OM896970	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV029/OM896971/CHINA/2011	OM896971	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV031/OM896972/CHINA/2011	OM896972	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV032/OM896973/CHINA/2011	OM896973	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV033/OM896974/CHINA/2011	OM896974	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV034/OM896975/CHINA/2011	OM896975	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV035/OM896976/CHINA/2011	OM896976	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV038/OM896977/CHINA/2011	OM896977	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV039/OM896978/CHINA/2011	OM896978	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV040/OM896979/CHINA/2011	OM896979	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV041/OM896980/CHINA/2011	OM896980	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV043/OM896981/CHINA/2010	OM896981	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV125/OM896982/CHINA/2010	OM896982	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV126/OM896983/CHINA/2010	OM896983	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV133/OM896984/CHINA/2010	OM896984	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV134/OM896985/CHINA/2010	OM896985	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV136/OM896986/CHINA/2010	OM896986	ncbi	China	?	?	2010-XX-XX	?	?	3
HCV/HCV159/OM896987/CHINA/2011	OM896987	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV160/OM896988/CHINA/2011	OM896988	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV161/OM896989/CHINA/2011	OM896989	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV162/OM896990/CHINA/2011	OM896990	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV163/OM896991/CHINA/2011	OM896991	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV164/OM896992/CHINA/2011	OM896992	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV165/OM896993/CHINA/2011	OM896993	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV166/OM896994/CHINA/2011	OM896994	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV167/OM896995/CHINA/2011	OM896995	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV168/OM896996/CHINA/2011	OM896996	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV169/OM896997/CHINA/2011	OM896997	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV170/OM896998/CHINA/2011	OM896998	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV172/OM896999/CHINA/2011	OM896999	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/HCV173/OM897000/CHINA/2011	OM897000	ncbi	China	?	?	2011-XX-XX	?	?	3
HCV/CH3ACC1/MZ325443/CHINA/2015	MZ325443	ncbi	China	?	?	2015-XX-XX	?	?	3
HCV/CH3ACC2/MZ325444/CHINA/2015	MZ325444	ncbi	China	?	?	2015-XX-XX	?	?	3
HCV/2000912/MT632158/ISRAEL/2016	MT632158	ncbi	Israel	?	?	2016-11-03	?	?	3
HCV/2000976/MT632162/ISRAEL/2017	MT632162	ncbi	Israel	?	?	2017-02-06	?	?	3
HCV/2001049/MT632170/ISRAEL/2017	MT632170	ncbi	Israel	?	?	2017-04-06	?	?	3
HCV/2001065/MT632172/ISRAEL/2017	MT632172	ncbi	Israel	?	?	2017-04-26	?	?	3
HCV/2001092/MT632179/ISRAEL/2017	MT632179	ncbi	Israel	?	?	2017-05-15	?	?	3
HCV/2001106/MT632180/ISRAEL/2017	MT632180	ncbi	Israel	?	?	2017-05-25	?	?	3
HCV/2001133/MT632186/ISRAEL/2017	MT632186	ncbi	Israel	?	?	2017-06-11	?	?	3
HCV/2001220/MT632194/ISRAEL/2017	MT632194	ncbi	Israel	?	?	2017-07-23	?	?	3
HCV/3A_049/LC368352/JAPAN/2011	LC368352	ncbi	Japan	?	?	2011-XX-XX	3a	3	3
HCV/3A_050/LC368353/JAPAN/2007	LC368353	ncbi	Japan	?	?	2007-XX-XX	3a	3	3
HCV/3A_052/LC368355/JAPAN/1999	LC368355	ncbi	Japan	?	?	1999-XX-XX	3a	3	3
HCV/3A_055/LC368358/JAPAN/1999	LC368358	ncbi	Japan	?	?	1999-XX-XX	3a	3	3
HCV/3A_057/LC368360/JAPAN/2002	LC368360	ncbi	Japan	?	?	2002-XX-XX	3a	3	3
HCV/3A_058/LC368361/JAPAN/2002	LC368361	ncbi	Japan	?	?	2002-XX-XX	3a	3	3
HCV/3A_061/LC368364/JAPAN/2007	LC368364	ncbi	Japan	?	?	2007-XX-XX	3a	3	3
HCV/3A_062/LC368365/JAPAN/2007	LC368365	ncbi	Japan	?	?	2007-XX-XX	3a	3	3
HCV/3A_065/LC368368/JAPAN/1999	LC368368	ncbi	Japan	?	?	1999-XX-XX	3a	3	3
HCV/3A_066/LC368369/JAPAN/2000	LC368369	ncbi	Japan	?	?	2000-XX-XX	3a	3	3
HCV/3A_067/LC368370/JAPAN/2011	LC368370	ncbi	Japan	?	?	2011-XX-XX	3a	3	3
HCV/3A_070/LC368372/JAPAN/2006	LC368372	ncbi	Japan	?	?	2006-XX-XX	3a	3	3
HCV/3A_080/LC368382/BRAZIL/2005	LC368382	ncbi	Brazil	?	?	2005-XX-XX	3a	3	3
HCV/3B_119/LC368420/MYANMAR/2012	LC368420	ncbi	Myanmar	?	?	2012-XX-XX	3b	3	3
HCV/2584/MN385583/CHINA/2016	MN385583	ncbi	China	?	?	2016-XX-XX	?	?	3
HCV/SL11/MN628574/SRI-LANKA/2014	MN628574	ncbi	Sri Lanka	?	?	2014-XX-XX	?	?	3
HCV/SL12/MN628575/SRI-LANKA/2014	MN628575	ncbi	Sri Lanka	?	?	2014-XX-XX	?	?	3
HCV/SL16/MN628576/SRI-LANKA/2014	MN628576	ncbi	Sri Lanka	?	?	2014-XX-XX	?	?	3
HCV/SL17/MN628577/SRI-LANKA/2014	MN628577	ncbi	Sri Lanka	?	?	2014-XX-XX	?	?	3
HCV/SL18/MN628578/SRI-LANKA/2014	MN628578	ncbi	Sri Lanka	?	?	2014-XX-XX	?	?	3
HCV/SL1/MN628579/SRI-LANKA/2014	MN628579	ncbi	Sri Lanka	?	?	2014-XX-XX	?	?	3
HCV/SL21/MN628581/SRI-LANKA/2014	MN628581	ncbi	Sri Lanka	?	?	2014-XX-XX	?	?	3
HCV/SL22/MN628582/SRI-LANKA/2014	MN628582	ncbi	Sri Lanka	?	?	2014-XX-XX	?	?	3
HCV/SL23/MN628583/SRI-LANKA/2014	MN628583	ncbi	Sri Lanka	?	?	2014-XX-XX	?	?	3
HCV/SL24/MN628584/SRI-LANKA/2014	MN628584	ncbi	Sri Lanka	?	?	2014-XX-XX	?	?	3
HCV/SL27/MN628585/SRI-LANKA/2014	MN628585	ncbi	Sri Lanka	?	?	2014-XX-XX	?	?	3
HCV/SL29/MN628586/SRI-LANKA/2014	MN628586	ncbi	Sri Lanka	?	?	2014-XX-XX	?	?	3
HCV/SL31/MN628587/SRI-LANKA/2014	MN628587	ncbi	Sri Lanka	?	?	2014-XX-XX	?	?	3
HCV/SL32/MN628588/SRI-LANKA/2014	MN628588	ncbi	Sri Lanka	?	?	2014-XX-XX	?	?	3
HCV/SL33/MN628589/SRI-LANKA/2014	MN628589	ncbi	Sri Lanka	?	?	2014-XX-XX	?	?	3
HCV/SL34/MN628590/SRI-LANKA/2014	MN628590	ncbi	Sri Lanka	?	?	2014-XX-XX	?	?	3
HCV/SL35/MN628591/SRI-LANKA/2014	MN628591	ncbi	Sri Lanka	?	?	2014-XX-XX	?	?	3
HCV/SL37/MN628593/SRI-LANKA/2014	MN628593	ncbi	Sri Lanka	?	?	2014-XX-XX	?	?	3
HCV/SL3/MN628594/SRI-LANKA/2014	MN628594	ncbi	Sri Lanka	?	?	2014-XX-XX	?	?	3
HCV/SL4/MN628595/SRI-LANKA/2014	MN628595	ncbi	Sri Lanka	?	?	2014-XX-XX	?	?	3
HCV/SL7/MN628596/SRI-LANKA/2014	MN628596	ncbi	Sri Lanka	?	?	2014-XX-XX	?	?	3
HCV/SL8/MN628597/SRI-LANKA/2014	MN628597	ncbi	Sri Lanka	?	?	2014-XX-XX	?	?	3
HCV/KPIS-01/MG428679/PAKISTAN/2016	MG428679	ncbi	Pakistan	 Peshawar	?	2016-XX-XX	?	?	3
HCV/3B_MA3_5-1/LC414155/JAPAN/2017	LC414155	ncbi	Japan	?	?	2017-11-27	3b	3	3
HCV/SP140042/KY620364/UNKNOWN/2013	KY620364	ncbi	?	?	?	2013-11-25	?	?	3
HCV/SP111499/KY620367/UNKNOWN/2013	KY620367	ncbi	?	?	?	2013-12-02	?	?	3
HCV/SP178318/KY620368/UNKNOWN/2013	KY620368	ncbi	?	?	?	2013-12-02	?	?	3
HCV/SP182931/KY620371/UNKNOWN/2013	KY620371	ncbi	?	?	?	2013-11-29	?	?	3
HCV/SP171006/KY620372/UNKNOWN/2013	KY620372	ncbi	?	?	?	2013-12-09	?	?	3
HCV/SP188972/KY620374/UNKNOWN/2013	KY620374	ncbi	?	?	?	2013-12-02	?	?	3
HCV/SP116149/KY620375/UNKNOWN/2013	KY620375	ncbi	?	?	?	2013-12-05	?	?	3
HCV/SP197102/KY620377/UNKNOWN/2013	KY620377	ncbi	?	?	?	2013-12-09	?	?	3
HCV/SP148748/KY620378/UNKNOWN/2013	KY620378	ncbi	?	?	?	2013-12-09	?	?	3
HCV/SP106019/KY620379/UNKNOWN/2013	KY620379	ncbi	?	?	?	2013-12-06	?	?	3
HCV/SP112510/KY620386/UNKNOWN/2013	KY620386	ncbi	?	?	?	2013-12-02	?	?	3
HCV/SP102817/KY620388/UNKNOWN/2013	KY620388	ncbi	?	?	?	2013-12-09	?	?	3
HCV/SP159072/KY620390/UNKNOWN/2013	KY620390	ncbi	?	?	?	2013-12-09	?	?	3
HCV/SP112633/KY620391/UNKNOWN/2013	KY620391	ncbi	?	?	?	2013-12-09	?	?	3
HCV/SP147946/KY620393/UNKNOWN/2013	KY620393	ncbi	?	?	?	2013-12-09	?	?	3
HCV/SP136130/KY620394/UNKNOWN/2013	KY620394	ncbi	?	?	?	2013-12-09	?	?	3
HCV/SP149918/KY620395/UNKNOWN/2013	KY620395	ncbi	?	?	?	2013-12-16	?	?	3
HCV/SP185877/KY620396/UNKNOWN/2013	KY620396	ncbi	?	?	?	2013-12-09	?	?	3
HCV/SP164009/KY620398/UNKNOWN/2013	KY620398	ncbi	?	?	?	2013-12-03	?	?	3
HCV/SP114734/KY620399/UNKNOWN/2013	KY620399	ncbi	?	?	?	2013-12-03	?	?	3
HCV/SP123396/KY620400/UNKNOWN/2013	KY620400	ncbi	?	?	?	2013-12-09	?	?	3
HCV/SP123894/KY620401/UNKNOWN/2013	KY620401	ncbi	?	?	?	2013-12-06	?	?	3
HCV/SP156377/KY620402/UNKNOWN/2013	KY620402	ncbi	?	?	?	2013-12-10	?	?	3
HCV/SP125680/KY620404/UNKNOWN/2013	KY620404	ncbi	?	?	?	2013-12-05	?	?	3
HCV/SP188444/KY620405/UNKNOWN/2013	KY620405	ncbi	?	?	?	2013-12-05	?	?	3
HCV/SP159426/KY620406/UNKNOWN/2013	KY620406	ncbi	?	?	?	2013-12-05	?	?	3
HCV/SP137274/KY620407/UNKNOWN/2013	KY620407	ncbi	?	?	?	2013-12-10	?	?	3
HCV/SP178928/KY620409/UNKNOWN/2013	KY620409	ncbi	?	?	?	2013-12-05	?	?	3
HCV/SP157819/KY620410/UNKNOWN/2013	KY620410	ncbi	?	?	?	2013-12-09	?	?	3
HCV/SP156699/KY620411/UNKNOWN/2013	KY620411	ncbi	?	?	?	2013-12-11	?	?	3
HCV/SP149154/KY620413/UNKNOWN/2013	KY620413	ncbi	?	?	?	2013-12-18	?	?	3
HCV/SP168290/KY620414/UNKNOWN/2013	KY620414	ncbi	?	?	?	2013-12-16	?	?	3
HCV/SP165196/KY620415/UNKNOWN/2013	KY620415	ncbi	?	?	?	2013-12-13	?	?	3
HCV/SP185793/KY620417/UNKNOWN/2013	KY620417	ncbi	?	?	?	2013-12-16	?	?	3
HCV/SP196406/KY620418/UNKNOWN/2013	KY620418	ncbi	?	?	?	2013-12-16	?	?	3
HCV/SP145130/KY620419/UNKNOWN/2013	KY620419	ncbi	?	?	?	2013-12-30	?	?	3
HCV/SP123989/KY620421/UNKNOWN/2013	KY620421	ncbi	?	?	?	2013-12-16	?	?	3
HCV/SP118115/KY620422/UNKNOWN/2013	KY620422	ncbi	?	?	?	2013-12-09	?	?	3
HCV/SP127478/KY620426/UNKNOWN/2013	KY620426	ncbi	?	?	?	2013-12-16	?	?	3
HCV/SP190359/KY620427/UNKNOWN/2013	KY620427	ncbi	?	?	?	2013-12-16	?	?	3
HCV/SP179879/KY620428/UNKNOWN/2013	KY620428	ncbi	?	?	?	2013-12-19	?	?	3
HCV/SP169068/KY620429/UNKNOWN/2013	KY620429	ncbi	?	?	?	2013-12-13	?	?	3
HCV/SP123372/KY620430/UNKNOWN/2013	KY620430	ncbi	?	?	?	2013-12-18	?	?	3
HCV/SP180309/KY620432/UNKNOWN/2013	KY620432	ncbi	?	?	?	2013-12-17	?	?	3
HCV/SP126712/KY620433/UNKNOWN/2013	KY620433	ncbi	?	?	?	2013-12-16	?	?	3
HCV/SP197771/KY620435/UNKNOWN/2013	KY620435	ncbi	?	?	?	2013-12-19	?	?	3
HCV/SP183191/KY620436/UNKNOWN/2013	KY620436	ncbi	?	?	?	2013-12-16	?	?	3
HCV/SP193311/KY620437/UNKNOWN/2013	KY620437	ncbi	?	?	?	2013-12-19	?	?	3
HCV/SP161993/KY620444/UNKNOWN/2013	KY620444	ncbi	?	?	?	2013-12-17	?	?	3
HCV/SP159504/KY620448/UNKNOWN/2014	KY620448	ncbi	?	?	?	2014-01-09	?	?	3
HCV/SP182144/KY620449/UNKNOWN/2013	KY620449	ncbi	?	?	?	2013-12-18	?	?	3
HCV/SP184911/KY620450/UNKNOWN/2013	KY620450	ncbi	?	?	?	2013-12-20	?	?	3
HCV/SP121997/KY620451/UNKNOWN/2013	KY620451	ncbi	?	?	?	2013-12-30	?	?	3
HCV/SP127266/KY620455/UNKNOWN/2013	KY620455	ncbi	?	?	?	2013-12-27	?	?	3
HCV/SP114378/KY620456/UNKNOWN/2013	KY620456	ncbi	?	?	?	2013-12-30	?	?	3
HCV/SP118763/KY620457/UNKNOWN/2013	KY620457	ncbi	?	?	?	2013-12-27	?	?	3
HCV/SP151094/KY620458/UNKNOWN/2013	KY620458	ncbi	?	?	?	2013-12-27	?	?	3
HCV/SP155470/KY620460/UNKNOWN/2013	KY620460	ncbi	?	?	?	2013-12-23	?	?	3
HCV/SP143184/KY620463/UNKNOWN/2013	KY620463	ncbi	?	?	?	2013-12-30	?	?	3
HCV/SP103228/KY620472/UNKNOWN/2014	KY620472	ncbi	?	?	?	2014-01-07	?	?	3
HCV/SP144468/KY620474/UNKNOWN/2013	KY620474	ncbi	?	?	?	2013-12-18	?	?	3
HCV/SP139521/KY620475/UNKNOWN/2013	KY620475	ncbi	?	?	?	2013-12-19	?	?	3
HCV/SP155701/KY620476/UNKNOWN/2014	KY620476	ncbi	?	?	?	2014-01-07	?	?	3
HCV/SP131544/KY620479/UNKNOWN/2013	KY620479	ncbi	?	?	?	2013-12-27	?	?	3
HCV/SP176581/KY620480/UNKNOWN/2013	KY620480	ncbi	?	?	?	2013-12-30	?	?	3
HCV/SP149960/KY620481/UNKNOWN/2013	KY620481	ncbi	?	?	?	2013-12-23	?	?	3
HCV/SP144624/KY620482/UNKNOWN/2013	KY620482	ncbi	?	?	?	2013-12-19	?	?	3
HCV/SP195132/KY620484/UNKNOWN/2014	KY620484	ncbi	?	?	?	2014-01-09	?	?	3
HCV/SP110813/KY620485/UNKNOWN/2013	KY620485	ncbi	?	?	?	2013-12-27	?	?	3
HCV/SP138504/KY620487/UNKNOWN/2014	KY620487	ncbi	?	?	?	2014-01-08	?	?	3
HCV/SP140517/KY620488/UNKNOWN/2014	KY620488	ncbi	?	?	?	2014-01-07	?	?	3
HCV/SP158925/KY620490/UNKNOWN/2013	KY620490	ncbi	?	?	?	2013-12-30	?	?	3
HCV/SP167177/KY620491/UNKNOWN/2013	KY620491	ncbi	?	?	?	2013-12-26	?	?	3
HCV/SP194356/KY620494/UNKNOWN/2014	KY620494	ncbi	?	?	?	2014-01-06	?	?	3
HCV/SP167557/KY620496/UNKNOWN/2014	KY620496	ncbi	?	?	?	2014-01-14	?	?	3
HCV/SP165046/KY620497/UNKNOWN/2014	KY620497	ncbi	?	?	?	2014-01-03	?	?	3
HCV/SP151412/KY620513/UNKNOWN/2014	KY620513	ncbi	?	?	?	2014-01-07	?	?	3
HCV/SP123322/KY620516/UNKNOWN/2014	KY620516	ncbi	?	?	?	2014-01-10	?	?	3
HCV/SP194241/KY620523/UNKNOWN/2014	KY620523	ncbi	?	?	?	2014-01-13	?	?	3
HCV/SP130086/KY620527/UNKNOWN/2014	KY620527	ncbi	?	?	?	2014-01-15	?	?	3
HCV/SP153686/KY620528/UNKNOWN/2014	KY620528	ncbi	?	?	?	2014-01-16	?	?	3
