strain	clade_membership	accession	date	source	country	original_annotated_genotype	original_annotated_subtype
HCV/SL8/MN628597/SRI-LANKA/2014	3		2014-XX-XX	ncbi	Sri Lanka		
HCV/SL21/MN628581/SRI-LANKA/2014	3		2014-XX-XX	ncbi	Sri Lanka		
HCV/SL27/MN628585/SRI-LANKA/2014	3		2014-XX-XX	ncbi	Sri Lanka		
HCV/SL11/MN628574/SRI-LANKA/2014	3		2014-XX-XX	ncbi	Sri Lanka		
HCV/SL31/MN628587/SRI-LANKA/2014	3		2014-XX-XX	ncbi	Sri Lanka		
HCV/SL4/MN628595/SRI-LANKA/2014	3		2014-XX-XX	ncbi	Sri Lanka		
HCV/SL1/MN628579/SRI-LANKA/2014	3		2014-XX-XX	ncbi	Sri Lanka		
HCV/SL33/MN628589/SRI-LANKA/2014	3		2014-XX-XX	ncbi	Sri Lanka		
HCV/SL34/MN628590/SRI-LANKA/2014	3		2014-XX-XX	ncbi	Sri Lanka		
HCV/SL35/MN628591/SRI-LANKA/2014	3		2014-XX-XX	ncbi	Sri Lanka		
HCV/SL18/MN628578/SRI-LANKA/2014	3		2014-XX-XX	ncbi	Sri Lanka		
HCV/SL24/MN628584/SRI-LANKA/2014	3		2014-XX-XX	ncbi	Sri Lanka		
HCV/SL7/MN628596/SRI-LANKA/2014	3		2014-XX-XX	ncbi	Sri Lanka		
HCV/SL37/MN628593/SRI-LANKA/2014	3		2014-XX-XX	ncbi	Sri Lanka		
HCV/SL3/MN628594/SRI-LANKA/2014	3		2014-XX-XX	ncbi	Sri Lanka		
HCV/SL12/MN628575/SRI-LANKA/2014	3		2014-XX-XX	ncbi	Sri Lanka		
HCV/SL22/MN628582/SRI-LANKA/2014	3		2014-XX-XX	ncbi	Sri Lanka		
HCV/3A_065/LC368368/JAPAN/1999	3		1999-XX-XX	ncbi	Japan	3	3a
HCV/SP144439/KY620585/UNKNOWN/2014	3		2014-01-27	ncbi			
HCV/SP144485/KY620823/UNKNOWN/2014	3		2014-03-20	ncbi			
HCV/SP118785/KY620493/UNKNOWN/2014	3		2014-01-08	ncbi			
HCV/HEP1319/KX621477/CANADA/2005	3		2005-11-14	ncbi	Canada		
HCV/SP155451/KY620507/UNKNOWN/2014	3		2014-01-06	ncbi			
HCV/SP113246/KY620537/UNKNOWN/2014	3		2014-01-16	ncbi			
HCV/HCV006/OM896950/CHINA/2009	3		2009-XX-XX	ncbi	China		
HCV/HCV162/OM896990/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV173/OM897000/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV161/OM896989/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV168/OM896996/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV169/OM896997/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/SP132204/KY620603/UNKNOWN/2014	3		2014-02-11	ncbi			
HCV/SP119082/KY620552/UNKNOWN/2014	3		2014-01-20	ncbi			
HCV/SP199928/KY620531/UNKNOWN/2014	3		2014-01-06	ncbi			
HCV/UFOVT0077/KX621541/USA/2005	3		2005-05-03	ncbi	USA		
HCV/SP107232/KY620529/UNKNOWN/2014	3		2014-01-09	ncbi			
HCV/SP170078/KY620530/UNKNOWN/2014	3		2014-01-10	ncbi			
HCV/SP194674/KY620565/UNKNOWN/2014	3		2014-01-23	ncbi			
HCV/SP117692/KY620586/UNKNOWN/2014	3		2014-01-27	ncbi			
HCV/BBAASH40/KX621453/USA/2000	3		2000-06-22	ncbi	USA		
HCV/SP155261/KY620577/UNKNOWN/2014	3		2014-01-21	ncbi			
HCV/3A_052/LC368355/JAPAN/1999	3		1999-XX-XX	ncbi	Japan	3	3a
HCV/3A_055/LC368358/JAPAN/1999	3		1999-XX-XX	ncbi	Japan	3	3a
HCV/SP177310/KY620526/UNKNOWN/2014	3		2014-01-20	ncbi			
HCV/SP130086/KY620527/UNKNOWN/2014	3		2014-01-15	ncbi			
HCV/SP131648/KY620525/UNKNOWN/2014	3		2014-01-09	ncbi			
HCV/SP115799/KY620524/UNKNOWN/2014	3		2014-01-14	ncbi			
HCV/SP194241/KY620523/UNKNOWN/2014	3		2014-01-13	ncbi			
HCV/XJN0041/KY120332/CHINA/2003	3		2003-08-03	ncbi	China		
HCV/HCV004/OM896948/CHINA/2009	3		2009-XX-XX	ncbi	China		
HCV/3A_PR87/HQ912953/CHINA/2008	3		2008-03-18	ncbi	China	3	3a
HCV/SP127384/KY620553/UNKNOWN/2014	3		2014-01-20	ncbi			
HCV/SP105067/KY620569/UNKNOWN/2014	3		2014-01-20	ncbi			
HCV/SP199426/KY620570/UNKNOWN/2014	3		2014-01-20	ncbi			
HCV/SP189216/KY620606/UNKNOWN/2014	3		2014-01-31	ncbi			
HCV/SP158925/KY620490/UNKNOWN/2013	3		2013-12-30	ncbi			
HCV/SP153686/KY620528/UNKNOWN/2014	3		2014-01-16	ncbi			
HCV/SP158533/KY620587/UNKNOWN/2014	3		2014-01-23	ncbi			
HCV/SP126889/KY620505/UNKNOWN/2014	3		2014-01-08	ncbi			
HCV/SP128476/KY620506/UNKNOWN/2014	3		2014-01-06	ncbi			
HCV/UFOTH0022/KX621527/USA/2007	3		2007-05-22	ncbi	USA		
HCV/SP186199/KY620534/UNKNOWN/2014	3		2014-01-08	ncbi			
HCV/AUS_135/KX621428/AUSTRALIA/2008	3		2008-01-03	ncbi	Australia		
HCV/SP185855/KY620544/UNKNOWN/2014	3		2014-01-17	ncbi			
HCV/HCV023/OM896967/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV027/OM896970/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV012/OM896956/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/HCV126/OM896983/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/HCV164/OM896992/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV038/OM896977/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV134/OM896985/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/HCV007/OM896951/CHINA/2009	3		2009-XX-XX	ncbi	China		
HCV/HCV005/OM896949/CHINA/2009	3		2009-XX-XX	ncbi	China		
HCV/HCV172/OM896999/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV035/OM896976/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/SP134146/KY620502/UNKNOWN/2014	3		2014-01-13	ncbi			
HCV/SP189317/KY620499/UNKNOWN/2013	3		2013-12-30	ncbi			
HCV/SP152424/KY620500/UNKNOWN/2014	3		2014-01-02	ncbi			
HCV/SP174047/KY620501/UNKNOWN/2013	3		2013-12-30	ncbi			
HCV/SP100291/KY620498/UNKNOWN/2014	3		2014-01-07	ncbi			
HCV/SP170623/KY620558/UNKNOWN/2014	3		2014-01-16	ncbi			
HCV/2001092/MT632179/ISRAEL/2017	3		2017-05-15	ncbi	Israel		
HCV/SP169235/KY620559/UNKNOWN/2014	3		2014-01-16	ncbi			
HCV/SP199435/KY620560/UNKNOWN/2014	3		2014-01-23	ncbi			
HCV/2001220/MT632194/ISRAEL/2017	3		2017-07-23	ncbi	Israel		
HCV/SP187273/KY620561/UNKNOWN/2014	3		2014-01-21	ncbi			
HCV/SP154801/KY620602/UNKNOWN/2014	3		2014-02-11	ncbi			
HCV/SP142138/KY620611/UNKNOWN/2014	3		2014-02-03	ncbi			
HCV/SP178112/KY620567/UNKNOWN/2014	3		2014-01-23	ncbi			
HCV/HITP300426/KX621503/AUSTRALIA/2009	3		2009-05-05	ncbi	Australia		
HCV/SP151376/KY620562/UNKNOWN/2014	3		2014-01-20	ncbi			
HCV/SP198315/KY620568/UNKNOWN/2014	3		2014-01-20	ncbi			
HCV/SP194356/KY620494/UNKNOWN/2014	3		2014-01-06	ncbi			
HCV/SP196255/KY620495/UNKNOWN/2014	3		2014-01-13	ncbi			
HCV/SP167557/KY620496/UNKNOWN/2014	3		2014-01-14	ncbi			
HCV/HITP300350/KX621502/AUSTRALIA/2008	3		2008-02-29	ncbi	Australia		
HCV/SP165046/KY620497/UNKNOWN/2014	3		2014-01-03	ncbi			
HCV/SP130954/KY620557/UNKNOWN/2014	3		2014-01-21	ncbi			
HCV/SP175365/KY620504/UNKNOWN/2014	3		2014-01-06	ncbi			
HCV/SP112534/KY620550/UNKNOWN/2014	3		2014-01-20	ncbi			
HCV/SP140561/KY620535/UNKNOWN/2014	3		2014-01-09	ncbi			
HCV/SP148879/KY620566/UNKNOWN/2014	3		2014-01-23	ncbi			
HCV/SP134901/KY620542/UNKNOWN/2014	3		2014-01-15	ncbi			
HCV/SP127903/KY620563/UNKNOWN/2014	3		2014-01-21	ncbi			
HCV/SP140517/KY620488/UNKNOWN/2014	3		2014-01-07	ncbi			
HCV/SP124721/KY620489/UNKNOWN/2013	3		2013-12-30	ncbi			
HCV/3A_RASILBS3/JQ717254/INDIA/2010	3		2010-09-27	ncbi	India	3	3a
HCV/SP140598/KY620555/UNKNOWN/2014	3		2014-01-14	ncbi			
HCV/3A_058/LC368361/JAPAN/2002	3		2002-XX-XX	ncbi	Japan	3	3a
HCV/SP141744/KY620532/UNKNOWN/2014	3		2014-01-07	ncbi			
HCV/SP180254/KY620533/UNKNOWN/2014	3		2014-01-08	ncbi			
HCV/SP140521/KY620536/UNKNOWN/2014	3		2014-01-14	ncbi			
HCV/HEP_5074/KX621487/CANADA/2010	3		2010-03-05	ncbi	Canada		
HCV/SP148730/KY620549/UNKNOWN/2014	3		2014-01-16	ncbi			
HCV/SP193030/KY620492/UNKNOWN/2013	3		2013-12-30	ncbi			
HCV/SP124139/KY620548/UNKNOWN/2014	3		2014-01-20	ncbi			
HCV/SP186740/KY620574/UNKNOWN/2014	3		2014-01-24	ncbi			
HCV/SP185018/KY620817/UNKNOWN/2014	3		2014-04-04	ncbi			
HCV/SP167177/KY620491/UNKNOWN/2013	3		2013-12-26	ncbi			
HCV/SP117020/KY620551/UNKNOWN/2014	3		2014-01-16	ncbi			
HCV/3A_PATIENT_128/GQ356203/UNITED-KINGDOM/2006	3		2006-01-19	ncbi	United Kingdom	3	3a
HCV/PATIENT_387/JF509177/UNITED-KINGDOM/2006	3		2006-04-24	ncbi	United Kingdom		
HCV/HEP5069/KX621486/CANADA/2009	3		2009-07-28	ncbi	Canada		
HCV/SP169890/KY620579/UNKNOWN/2014	3		2014-01-21	ncbi			
HCV/SP148217/KY620541/UNKNOWN/2014	3		2014-01-14	ncbi			
HCV/SP195991/KY620539/UNKNOWN/2014	3		2014-01-13	ncbi			
HCV/SP136496/KY620540/UNKNOWN/2014	3		2014-01-17	ncbi			
HCV/SP181504/KY620580/UNKNOWN/2014	3		2014-01-24	ncbi			
HCV/3A_PATIENT_99/GQ356216/UNITED-KINGDOM/2003	3		2003-02-04	ncbi	United Kingdom	3	3a
HCV/SP125310/KY620521/UNKNOWN/2014	3		2014-01-07	ncbi			
HCV/SP191897/KY620522/UNKNOWN/2014	3		2014-01-10	ncbi			
HCV/SP136748/KY620520/UNKNOWN/2014	3		2014-01-09	ncbi			
HCV/SP102673/KY620581/UNKNOWN/2014	3		2014-03-13	ncbi			
HCV/SP131172/KY620517/UNKNOWN/2014	3		2014-01-07	ncbi			
HCV/SP100718/KY620519/UNKNOWN/2014	3		2014-01-09	ncbi			
HCV/SP166533/KY620564/UNKNOWN/2014	3		2014-01-23	ncbi			
HCV/AUS_606/KX621429/AUSTRALIA/2004	3		2004-11-04	ncbi	Australia		
HCV/SP133229/KY620515/UNKNOWN/2014	3		2014-01-06	ncbi			
HCV/SP123322/KY620516/UNKNOWN/2014	3		2014-01-10	ncbi			
HCV/HITCCIGS1080MX/KU871296/AUSTRALIA/2013	3		2013-05-05	ncbi	Australia		
HCV/SP169662/KY620583/UNKNOWN/2014	3		2014-01-24	ncbi			
HCV/SP161327/KY620518/UNKNOWN/2014	3		2014-01-07	ncbi			
HCV/SP107295/KY620582/UNKNOWN/2014	3		2014-01-21	ncbi			
HCV/SP124349/KY620604/UNKNOWN/2014	3		2014-01-27	ncbi			
HCV/SP103391/KY620853/UNKNOWN/2014	3		2014-03-31	ncbi			
HCV/SP185497/KY620546/UNKNOWN/2014	3		2014-01-16	ncbi			
HCV/SP128301/KY620545/UNKNOWN/2014	3		2014-01-16	ncbi			
HCV/SP130312/KY620578/UNKNOWN/2014	3		2014-01-20	ncbi			
HCV/3A_080/LC368382/BRAZIL/2005	3		2005-XX-XX	ncbi	Brazil	3	3a
HCV/HCV009/OM896953/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/HCV170/OM896998/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV021/OM896965/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV025/OM896969/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV167/OM896995/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV020/OM896964/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/CH3ACC1/MZ325443/CHINA/2015	3		2015-XX-XX	ncbi	China		
HCV/CH3ACC2/MZ325444/CHINA/2015	3		2015-XX-XX	ncbi	China		
HCV/HCV011/OM896955/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/HCV033/OM896974/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV031/OM896972/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV163/OM896991/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV039/OM896978/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV014/OM896958/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/HCV018/OM896962/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/HCV029/OM896971/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV017/OM896961/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/HCV002/OM896946/CHINA/2008	3		2008-XX-XX	ncbi	China		
HCV/HCV041/OM896980/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV001/OM896945/CHINA/2009	3		2009-XX-XX	ncbi	China		
HCV/HCV136/OM896986/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/HCV008/OM896952/CHINA/2009	3		2009-XX-XX	ncbi	China		
HCV/HCV016/OM896960/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/HCV024/OM896968/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/3A_ZS633/KC844041/CHINA/2011	3		2011-XX-XX	ncbi	China	3	3a
HCV/HCV010/OM896954/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/HCV166/OM896994/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV022/OM896966/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV003/OM896947/CHINA/2008	3		2008-XX-XX	ncbi	China		
HCV/HCV043/OM896981/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/HCV165/OM896993/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV015/OM896959/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/HCV019/OM896963/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/HCV159/OM896987/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV160/OM896988/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV133/OM896984/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/HCV125/OM896982/CHINA/2010	3		2010-XX-XX	ncbi	China		
HCV/HCV040/OM896979/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV032/OM896973/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/HCV034/OM896975/CHINA/2011	3		2011-XX-XX	ncbi	China		
HCV/SP123894/KY620401/UNKNOWN/2013	3		2013-12-06	ncbi			
HCV/SP156377/KY620402/UNKNOWN/2013	3		2013-12-10	ncbi			
HCV/SP155262/KY620403/UNKNOWN/2013	3		2013-12-10	ncbi			
HCV/HEP4787/KX621483/CANADA/2006	3		2006-12-12	ncbi	Canada		
HCV/SP193311/KY620437/UNKNOWN/2013	3		2013-12-19	ncbi			
HCV/SP149960/KY620481/UNKNOWN/2013	3		2013-12-23	ncbi			
HCV/BBAASH178/KX621469/USA/2007	3		2007-03-23	ncbi	USA		
HCV/SP156699/KY620411/UNKNOWN/2013	3		2013-12-11	ncbi			
HCV/SP131544/KY620479/UNKNOWN/2013	3		2013-12-27	ncbi			
HCV/3A_050/LC368353/JAPAN/2007	3		2007-XX-XX	ncbi	Japan	3	3a
HCV/3A_049/LC368352/JAPAN/2011	3		2011-XX-XX	ncbi	Japan	3	3a
HCV/SP105383/KY620591/UNKNOWN/2014	3		2014-01-27	ncbi			
HCV/SP117444/KY620818/UNKNOWN/2014	3		2014-03-28	ncbi			
HCV/SP186536/KY620365/UNKNOWN/2013	3		2013-11-25	ncbi			
HCV/SP102125/KY620366/UNKNOWN/2013	3		2013-11-25	ncbi			
HCV/SP185877/KY620396/UNKNOWN/2013	3		2013-12-09	ncbi			
HCV/SP137480/KY620397/UNKNOWN/2013	3		2013-12-04	ncbi			
HCV/BASMGH65/KX621441/USA/2007	3		2007-11-08	ncbi	USA		
HCV/UFOMN0526/KX621522/USA/2003	3		2003-12-02	ncbi	USA		
HCV/HEP_5135/KX621488/CANADA/2011	3		2011-11-16	ncbi	Canada		
HCV/SP143184/KY620463/UNKNOWN/2013	3		2013-12-30	ncbi			
HCV/HEP1934/KX621478/CANADA/2005	3		2005-09-06	ncbi	Canada		
HCV/HEP1152/KX621476/CANADA/2006	3		2006-09-26	ncbi	Canada		
HCV/HEP_4708/KX621481/CANADA/2006	3		2006-06-09	ncbi	Canada		
HCV/SP139521/KY620475/UNKNOWN/2013	3		2013-12-19	ncbi			
HCV/UFOMN0300/KX621518/USA/2001	3		2001-11-14	ncbi	USA		
HCV/SP145130/KY620419/UNKNOWN/2013	3		2013-12-30	ncbi			
HCV/SP192858/KY620464/UNKNOWN/2014	3		2014-01-06	ncbi			
HCV/SP123396/KY620400/UNKNOWN/2013	3		2013-12-09	ncbi			
HCV/SP197160/KY620821/UNKNOWN/2014	3		2014-03-25	ncbi			
HCV/SP151383/KY620462/UNKNOWN/2013	3		2013-12-27	ncbi			
HCV/SP189103/KY620471/UNKNOWN/2014	3		2014-01-07	ncbi			
HCV/SP197102/KY620377/UNKNOWN/2013	3		2013-12-09	ncbi			
HCV/SP124605/KY620420/UNKNOWN/2013	3		2013-12-16	ncbi			
HCV/SP182931/KY620371/UNKNOWN/2013	3		2013-11-29	ncbi			
HCV/SP119818/KY620483/UNKNOWN/2014	3		2014-01-02	ncbi			
HCV/SP149154/KY620413/UNKNOWN/2013	3		2013-12-18	ncbi			
HCV/I/KM587622/AUSTRALIA/2012	3		2012-05-25	ncbi	Australia		
HCV/SP161358/KY620381/UNKNOWN/2013	3		2013-12-11	ncbi			
HCV/SP148748/KY620378/UNKNOWN/2013	3		2013-12-09	ncbi			
HCV/SP126712/KY620433/UNKNOWN/2013	3		2013-12-16	ncbi			
HCV/SP195132/KY620484/UNKNOWN/2014	3		2014-01-09	ncbi			
HCV/SP106019/KY620379/UNKNOWN/2013	3		2013-12-06	ncbi			
HCV/SP172479/KY620866/UNKNOWN/2014	3		2014-04-02	ncbi			
HCV/SP111529/KY620380/UNKNOWN/2013	3		2013-12-06	ncbi			
HCV/SP133972/KY620412/UNKNOWN/2013	3		2013-12-12	ncbi			
HCV/AUS_808/KX621431/AUSTRALIA/2005	3		2005-11-14	ncbi	Australia		
HCV/SP168290/KY620414/UNKNOWN/2013	3		2013-12-16	ncbi			
HCV/SP192597/KY620867/UNKNOWN/2014	3		2014-03-28	ncbi			
HCV/SP111499/KY620367/UNKNOWN/2013	3		2013-12-02	ncbi			
HCV/SP144624/KY620482/UNKNOWN/2013	3		2013-12-19	ncbi			
HCV/SP188354/KY620370/UNKNOWN/2013	3		2013-11-25	ncbi			
HCV/SP157819/KY620410/UNKNOWN/2013	3		2013-12-09	ncbi			
HCV/SP139564/KY620369/UNKNOWN/2013	3		2013-11-25	ncbi			
HCV/HITP300023/KU871297/AUSTRALIA/2011	3		2011-06-09	ncbi	Australia		
HCV/SP127419/KY620445/UNKNOWN/2014	3		2014-01-03	ncbi			
HCV/SP101838/KY620822/UNKNOWN/2014	3		2014-04-01	ncbi			
HCV/SP102963/KY620431/UNKNOWN/2013	3		2013-12-16	ncbi			
HCV/SP178318/KY620368/UNKNOWN/2013	3		2013-12-02	ncbi			
HCV/SP137683/KY620384/UNKNOWN/2013	3		2013-12-06	ncbi			
HCV/SP100537/KY620383/UNKNOWN/2013	3		2013-12-09	ncbi			
HCV/SP123372/KY620430/UNKNOWN/2013	3		2013-12-18	ncbi			
HCV/SP171006/KY620372/UNKNOWN/2013	3		2013-12-09	ncbi			
HCV/SP169068/KY620429/UNKNOWN/2013	3		2013-12-13	ncbi			
HCV/SP179879/KY620428/UNKNOWN/2013	3		2013-12-19	ncbi			
HCV/NET1024/KX621507/AUSTRALIA/2007	3		2007-05-08	ncbi	Australia		
HCV/SP127478/KY620426/UNKNOWN/2013	3		2013-12-16	ncbi			
HCV/SP190359/KY620427/UNKNOWN/2013	3		2013-12-16	ncbi			
HCV/SP169995/KY620373/UNKNOWN/2013	3		2013-12-02	ncbi			
HCV/SP193497/KY620376/UNKNOWN/2013	3		2013-12-09	ncbi			
HCV/SP180309/KY620432/UNKNOWN/2013	3		2013-12-17	ncbi			
HCV/SP116149/KY620375/UNKNOWN/2013	3		2013-12-05	ncbi			
HCV/HITCRIMM0274FX/KX621490/AUSTRALIA/2009	3		2009-11-04	ncbi	Australia		
HCV/SP188972/KY620374/UNKNOWN/2013	3		2013-12-02	ncbi			
HCV/SP102844/KY620385/UNKNOWN/2013	3		2013-12-02	ncbi			
HCV/SP169109/KY620382/UNKNOWN/2013	3		2013-12-20	ncbi			
HCV/HITCYALL0480MX/KX621492/AUSTRALIA/2011	3		2011-05-26	ncbi	Australia		
HCV/UFOMN0242/KX621516/USA/2001	3		2001-12-17	ncbi	USA		
HCV/SP161993/KY620444/UNKNOWN/2013	3		2013-12-17	ncbi			
HCV/SP175420/KY620860/UNKNOWN/2014	3		2014-03-31	ncbi			
HCV/SP178928/KY620409/UNKNOWN/2013	3		2013-12-05	ncbi			
HCV/SP112510/KY620386/UNKNOWN/2013	3		2013-12-02	ncbi			
HCV/SP162411/KY620452/UNKNOWN/2013	3		2013-12-23	ncbi			
HCV/SP164009/KY620398/UNKNOWN/2013	3		2013-12-03	ncbi			
HCV/SP192080/KY620423/UNKNOWN/2013	3		2013-12-16	ncbi			
HCV/SP147946/KY620393/UNKNOWN/2013	3		2013-12-09	ncbi			
HCV/SP114734/KY620399/UNKNOWN/2013	3		2013-12-03	ncbi			
HCV/SP125680/KY620404/UNKNOWN/2013	3		2013-12-05	ncbi			
HCV/SP121997/KY620451/UNKNOWN/2013	3		2013-12-30	ncbi			
HCV/SP144202/KY620468/UNKNOWN/2014	3		2014-01-03	ncbi			
HCV/SP176581/KY620480/UNKNOWN/2013	3		2013-12-30	ncbi			
HCV/SP144302/KY620453/UNKNOWN/2013	3		2013-12-23	ncbi			
HCV/SP128208/KY620454/UNKNOWN/2014	3		2014-01-07	ncbi			
HCV/SP127266/KY620455/UNKNOWN/2013	3		2013-12-27	ncbi			
HCV/SP193304/KY620477/UNKNOWN/2013	3		2013-12-27	ncbi			
HCV/BBAASH181/KX621470/USA/2006	3		2006-11-02	ncbi	USA		
HCV/SP121426/KY620470/UNKNOWN/2014	3		2014-01-02	ncbi			
HCV/SP123989/KY620421/UNKNOWN/2013	3		2013-12-16	ncbi			
HCV/SP171853/KY620424/UNKNOWN/2013	3		2013-12-16	ncbi			
HCV/SP118115/KY620422/UNKNOWN/2013	3		2013-12-09	ncbi			
HCV/SP115586/KY620447/UNKNOWN/2013	3		2013-12-23	ncbi			
HCV/SP178715/KY620443/UNKNOWN/2013	3		2013-12-19	ncbi			
HCV/SP139391/KY620408/UNKNOWN/2013	3		2013-12-05	ncbi			
HCV/SP137274/KY620407/UNKNOWN/2013	3		2013-12-10	ncbi			
HCV/HITCNASS0384MX/KX621489/AUSTRALIA/2011	3		2011-07-25	ncbi	Australia		
HCV/SP112691/KY620389/UNKNOWN/2013	3		2013-12-09	ncbi			
HCV/SP149918/KY620395/UNKNOWN/2013	3		2013-12-16	ncbi			
HCV/SP159072/KY620390/UNKNOWN/2013	3		2013-12-09	ncbi			
HCV/SP159294/KY620392/UNKNOWN/2013	3		2013-12-09	ncbi			
HCV/HITP300262/KX621498/AUSTRALIA/2007	3		2007-06-28	ncbi	Australia		
HCV/SP136130/KY620394/UNKNOWN/2013	3		2013-12-09	ncbi			
HCV/SP130987/KY620469/UNKNOWN/2014	3		2014-01-02	ncbi			
HCV/UFOTL0086/KX621531/USA/2001	3		2001-06-18	ncbi	USA		
HCV/SP144468/KY620474/UNKNOWN/2013	3		2013-12-18	ncbi			
HCV/SP118009/KY620473/UNKNOWN/2014	3		2014-01-07	ncbi			
HCV/SP112633/KY620391/UNKNOWN/2013	3		2013-12-09	ncbi			
HCV/SP165196/KY620415/UNKNOWN/2013	3		2013-12-13	ncbi			
HCV/SP182357/KY620446/UNKNOWN/2014	3		2014-01-04	ncbi			
HCV/UFOTL0275/KX621537/USA/2003	3		2003-03-26	ncbi	USA		
HCV/BBAASH48/KX621454/USA/2003	3		2003-07-23	ncbi	USA		
HCV/SP151094/KY620458/UNKNOWN/2013	3		2013-12-27	ncbi			
